ID,beta,eta,R0,Inf2505,Inf1508
CMX,2.76428135,1.06127079,2.60468994,20235,85667
MEX,2.382401721,0.9144293113,2.60534269,11523,61010
JAL,0.2412284552,0.05015398131,4.809756852,1238,16223
PUE,0.4304738535,0.1283636065,3.35355063,2165,24118
NLE,0.3783610674,0.117940875,3.20805715,1168,23727
COA,0.4927585472,0.1788761011,2.754747807,876,17447
YUC,0.3439755682,0.1029537532,3.341068756,1522,12402
TAB,1.33006321,0.4972989342,2.674574824,3236,25601
ROO,0.5556728524,0.2045505152,2.716555623,1641,9238
GUA,0.3605259533,0.08908875869,4.046817563,1127,26313
AGU,0.555827399,0.1956510736,2.840911571,649,4771
BCN,1.253935051,0.4752053919,2.638722271,4250,15296
SIN,0.8860683027,0.3125746055,2.834741809,2794,14466
SLP,0.2466896297,0.03372487503,7.314767793,692,14107
QUE,0.2570436101,0.043925597,5.851795483,710,4797
VER,0.5336986911,0.1647901698,3.238656115,2944,25325
MIC,0.2955859328,0.06971577467,4.239871596,1402,12167
OAX,0.292962952,0.036190727,8.094972836,1070,12302
HID,0.3127056275,0.07373961436,4.240673487,1319,8603
SON,0.3629289115,0.08258046556,4.394851846,1451,19930
BCS,0.919405718,0.3684882924,2.495074435,541,6208
GRO,0.2444205876,0.03572021346,6.842640731,1301,13141
CHP,0.2863164432,0.03615374301,7.919413574,1224,6063
CHH,0.8497531608,0.3129446272,2.7153467,1193,6526
TAM,0.6633808698,0.2289462626,2.897539634,1289,20647
MOR,0.5922842206,0.2115022285,2.8003687,1232,4630
NAY,0.3228014693,0.08917604316,3.619822744,439,4275
DUR,0.1555905869,0.01785163242,8.715762412,246,5267
ZAC,0.3336880296,0.1140676792,2.925351266,243,4048
CAM,0.3033702785,0.07572925549,4.005985224,443,5175
TLA,0.4734958959,0.1427159778,3.317749724,827,5566
COL,0.1641719525,0.02022775777,8.116171571,115,2658
