Date,Days,S TOT,I TOT,R TOT,S GR0,I GR0,R GR0,S GR1,I GR1,R GR1,S GR2,I GR2,R GR2,S CMX,I CMX,R CMX,S MEX,I MEX,R MEX,S JAL,I JAL,R JAL,S PUE,I PUE,R PUE,S NLE,I NLE,R NLE,S COA,I COA,R COA,S YUC,I YUC,R YUC,S TAB,I TAB,R TAB,S ROO,I ROO,R ROO,S GUA,I GUA,R GUA,S AGU,I AGU,R AGU,S BCN,I BCN,R BCN,S SIN,I SIN,R SIN,S SLP,I SLP,R SLP,S QUE,I QUE,R QUE,S VER,I VER,R VER,S MIC,I MIC,R MIC,S OAX,I OAX,R OAX,S HID,I HID,R HID,S SON,I SON,R SON,S BCS,I BCS,R BCS,S GRO,I GRO,R GRO,S CHP,I CHP,R CHP,S CHH,I CHH,R CHH,S TAM,I TAM,R TAM,S MOR,I MOR,R MOR,S NAY,I NAY,R NAY,S DUR,I DUR,R DUR,S ZAC,I ZAC,R ZAC,S CAM,I CAM,R CAM,S TLA,I TLA,R TLA,S COL,I COL,R COL
15 Mar. 2020,1,127792274,12,0,54871343,14,0,58460142,33,0,14460753,1,0,9018644,1,0,17427789,1,0,8409693,0,0,6604449,2,0,5610151,2,0,3218720,0,0,2259098,0,0,2572287,0,0,1723259,0,0,6228175,0,0,1434634,1,0,3634868,0,0,3156673,1,0,2866141,1,0,2279636,1,0,8539862,0,0,4825401,0,0,4143593,0,0,3086414,0,0,3074745,0,0,804708,0,0,3657048,0,0,5730367,0,0,3801487,0,0,3650602,0,0,2044058,0,0,1288571,0,0,1868996,0,0,1666426,0,0,1000617,0,0,1380011,0,0,785153,0,0
16 Mar. 2020,2,127792257,29,0,54871347,10,0,58460148,27,0,14460750,4,0,9018642,3,0,17427785,5,0,8409693,0,0,6604448,3,0,5610145,8,0,3218720,0,0,2259095,3,0,2572287,0,0,1723256,3,0,6228175,0,0,1434635,0,0,3634868,0,0,3156674,0,0,2866142,0,0,2279636,1,0,8539862,0,0,4825401,0,0,4143593,0,0,3086414,0,0,3074745,0,0,804708,0,0,3657046,2,0,5730367,0,0,3801487,0,0,3650602,0,0,2044058,0,0,1288571,0,0,1868994,2,0,1666426,0,0,1000617,0,0,1380011,0,0,785153,0,0
17 Mar. 2020,3,127792275,11,0,54871352,5,0,58460132,43,0,14460748,6,0,9018644,1,0,17427790,0,0,8409690,3,0,6604451,0,0,5610152,1,0,3218720,0,0,2259097,1,0,2572287,0,0,1723259,0,0,6228174,1,0,1434635,0,0,3634868,0,0,3156674,0,0,2866141,1,0,2279637,0,0,8539862,0,0,4825401,0,0,4143593,0,0,3086414,0,0,3074744,1,0,804708,0,0,3657048,0,0,5730367,0,0,3801486,1,0,3650601,1,0,2044058,0,0,1288571,0,0,1868996,0,0,1666426,0,0,1000617,0,0,1380011,0,0,785153,0,0
18 Mar. 2020,4,127792261,25,0,54871346,11,0,58460111,64,0,14460743,11,0,9018643,2,0,17427789,1,0,8409692,1,0,6604450,1,0,5610148,5,0,3218720,0,0,2259095,3,0,2572286,1,0,1723257,2,0,6228172,3,0,1434635,0,0,3634866,2,0,3156674,0,0,2866142,0,0,2279637,0,0,8539860,2,0,4825401,0,0,4143593,0,0,3086414,0,0,3074745,0,0,804708,0,0,3657048,0,0,5730367,0,0,3801487,0,0,3650601,1,0,2044058,0,0,1288571,0,0,1868996,0,0,1666426,0,0,1000617,0,0,1380011,0,0,785152,1,0
19 Mar. 2020,5,127792240,46,0,54871346,11,0,58460104,71,0,14460739,15,0,9018639,6,0,17427790,0,0,8409677,16,0,6604449,2,0,5610153,0,0,3218720,0,0,2259093,5,0,2572287,0,0,1723259,0,0,6228175,0,0,1434632,3,0,3634868,0,0,3156673,1,0,2866138,4,0,2279635,2,0,8539861,1,0,4825401,0,0,4143593,0,0,3086412,2,0,3074744,1,0,804708,0,0,3657046,2,0,5730366,1,0,3801487,0,0,3650602,0,0,2044058,0,0,1288571,0,0,1868996,0,0,1666426,0,0,1000617,0,0,1380011,0,0,785153,0,0
20 Mar. 2020,6,127792247,39,2,54871348,9,0,58460046,129,0,14460743,11,0,9018644,1,0,17427786,4,0,8409687,6,0,6604448,3,0,5610143,10,0,3218720,0,0,2259098,0,0,2572286,1,0,1723254,5,0,6228175,0,0,1434635,0,0,3634866,2,0,3156674,0,0,2866142,0,0,2279635,2,0,8539861,1,0,4825401,0,0,4143593,0,0,3086414,0,0,3074745,0,0,804708,0,0,3657048,0,0,5730367,0,0,3801486,1,0,3650602,0,0,2044056,2,0,1288571,0,0,1868995,1,0,1666426,0,0,1000617,0,0,1380011,0,0,785153,0,0
21 Mar. 2020,7,127792238,48,0,54871346,11,0,58460155,20,0,14460737,17,0,9018631,14,0,17427790,0,0,8409689,4,0,6604449,2,0,5610150,3,0,3218718,2,0,2259097,1,0,2572285,2,0,1723258,1,0,6228175,0,0,1434635,0,0,3634864,4,0,3156674,0,0,2866140,2,0,2279634,3,0,8539859,3,0,4825401,0,0,4143593,0,0,3086413,1,0,3074745,0,0,804707,1,0,3657048,0,0,5730367,0,0,3801487,0,0,3650601,1,0,2044058,0,0,1288570,1,0,1868995,1,0,1666425,1,0,1000617,0,0,1380011,0,0,785152,1,0
22 Mar. 2020,8,127792221,65,0,54871357,0,0,58460135,40,0,14460742,12,0,9018634,11,0,17427782,8,0,8409685,8,0,6604451,0,0,5610150,3,0,3218713,7,0,2259093,5,0,2572286,1,0,1723259,0,0,6228175,0,0,1434635,0,0,3634865,3,0,3156673,1,0,2866139,3,0,2279637,0,0,8539862,0,0,4825398,3,0,4143592,1,0,3086412,2,0,3074743,2,0,804708,0,0,3657048,0,0,5730367,0,0,3801484,3,0,3650601,1,0,2044058,0,0,1288571,0,0,1868996,0,0,1666425,1,0,1000616,1,0,1380011,0,0,785153,0,0
23 Mar. 2020,9,127792235,51,2,54871341,16,0,58460142,33,0,14460739,15,0,9018641,4,0,17427790,0,0,8409688,5,0,6604451,0,0,5610148,5,0,3218718,2,0,2259098,0,0,2572286,1,0,1723250,9,0,6228172,3,0,1434633,2,0,3634866,2,0,3156674,0,0,2866138,4,0,2279635,2,0,8539862,0,0,4825397,4,0,4143592,1,0,3086412,2,0,3074745,0,0,804707,1,0,3657047,1,0,5730367,0,0,3801487,0,0,3650601,1,0,2044058,0,0,1288571,0,0,1868996,0,0,1666425,1,0,1000616,1,0,1380011,0,0,785153,0,0
24 Mar. 2020,10,127792248,38,1,54871349,8,0,58460100,75,0,14460724,30,0,9018640,5,0,17427790,0,0,8409693,0,0,6604445,6,0,5610141,12,0,3218720,0,0,2259093,5,0,2572287,0,0,1723258,1,0,6228170,5,0,1434635,0,0,3634868,0,0,3156674,0,0,2866142,0,0,2279637,0,0,8539862,0,0,4825400,1,0,4143593,0,0,3086414,0,0,3074745,0,0,804708,0,0,3657047,1,0,5730367,0,0,3801486,1,0,3650602,0,0,2044058,0,0,1288571,0,0,1868996,0,0,1666426,0,0,1000617,0,0,1380011,0,0,785153,0,0
