ID,MaxInf,Date,R0min,R0max
TOT,254174.05485134336,2020-10-14,2.391564601642713,3.5918376559550707
CMX,14008.234120352996,2020-08-29,2.3236313524112067,2.9896617542622974
MEX,19271.78346730623,2020-10-06,2.3199632108444703,2.982244061843977
JAL,0.0,2020-03-15,4.2994315865926955,5.593980198817387
GUA,0.0,2020-03-15,3.617264456996701,4.649839267556566
VER,0.0,2020-03-15,2.5966718156063293,4.331646425749606
MIC,0.0,2020-03-15,3.772177047346427,4.9438773028184455
PUE,51759.84995722841,2020-11-23,2.9808022058239327,4.47736722899771
SON,0.0,2020-03-15,3.5226917480764066,5.862244890379009
HID,0.0,2020-03-15,3.4301325989272207,4.8932895006653485
QUE,34988.89577927556,2020-10-22,5.9088683394043935,7.872444571861447
NLE,29370.583560576568,2021-01-27,2.564967574476942,3.639390711360461
YUC,0.0,2020-03-15,2.9730654045341574,3.844563423367836
TAM,0.0,2020-03-15,2.3296187025355555,3.3233158723244487
SIN,10686.766900678535,2020-10-18,2.2606216286991403,3.771752829742344
TLA,0.0,2020-03-15,2.666596630999788,4.439553703809039
NAY,0.0,2020-03-15,2.8932804237939465,4.139651354977942
CAM,0.0,2020-03-15,3.2201375890524315,4.609415078621389
TAB,0.0,2020-03-15,2.3695136925111697,3.0589806648494373
