ID,beta,eta,R0,error,maxI,dataMaxI
TOT,1.4801826760309684,0.5502603972967041,2.6899676649505344,45562.24174376904,338944.5416762679,2020-10-20
GR0,0.19477356776345087,0.023091791440220385,8.434753460669224,326.52996907718534,829751.1505156115,2020-12-02
GR1,0.5992456203331671,0.19766095680468218,3.0316843043783757,28377.435480863656,358102.6544735951,2020-10-30
GR2,2.53741938980338,0.9739991968423447,2.6051555258254453,2613.969337034012,22000.03600751243,2020-09-25
CMX,2.764281349931183,1.0612707897168767,2.604689940320162,11242.597137530096,14746.956753757373,2020-08-29
MEX,2.3824017213296247,0.9144293113245473,2.605342689506229,3447.391439650352,25095.50977836702,2020-10-13
JAL,0.24122845523934022,0.05015398130818622,4.809756851745018,65.44693679523664,112592.04512231541,2020-12-13
PUE,0.43047385346101524,0.1283636064906353,3.3535506303526943,224.2512233045856,56418.97914776322,2020-11-25
NLE,0.378361067357716,0.11794087502001857,3.2080571497667396,152.90514601774285,32520.70000905773,2021-01-28
COA,0.4927585471638402,0.1788761011058655,2.7547478065401676,92.11013614151425,5026.938057313606,2021-05-27
YUC,0.3439755681732112,0.10295375320897346,3.3410687561338,116.69069945195616,16048.72573477606,2020-12-16
TAB,1.3300632095500051,0.4972989342011254,2.6745748242687366,484.8187731987476,5181.920187452021,2020-10-20
ROO,0.5556728524286363,0.20455051524660658,2.7165556232342696,227.52445033066272,2323.8539660873266,2021-03-22
GUA,0.3605259532804682,0.08908875868592107,4.046817562600555,80.96041315544194,87553.35589492507,2020-11-04
AGU,0.5558273990433409,0.1956510736439069,2.8409115712544972,102.61833761467588,3538.2973207330656,2021-02-04
BCN,1.2539350508569231,0.4752053918520749,2.638722271163237,1434.2342753920911,5002.297634320643,2020-11-24
SIN,0.886068302664282,0.31257460546364185,2.834741809399318,551.4808927742957,12573.011598759014,2020-10-24
SLP,0.24668962966392977,0.03372487502573276,7.3147677930815345,21.37531806965289,52783.131702202394,2020-10-14
QUE,0.2570436100699286,0.043925596995759694,5.851795482591665,44.045253115645025,39429.0418926136,2020-10-23
VER,0.533698691055242,0.16479016975741703,3.238656115476335,620.591003747255,74396.9417318302,2020-10-30
MIC,0.29558593280962564,0.06971577467191932,4.239871595785109,242.75756876170533,64103.214249926525,2020-11-10
OAX,0.29296295200205275,0.03619072700343223,8.094972835839107,327.0272985760823,90222.98114830644,2020-09-11
HID,0.31270562754864223,0.0737396143618935,4.240673486763439,84.96813911127737,41913.955252146116,2020-10-29
SON,0.3629289115491285,0.08258046556370112,4.394851846277998,364.77935226440593,51533.37539715493,2020-10-02
BCS,0.9194057179749481,0.36848829240896036,2.4950744349689176,47.682045869490196,9.884725289103404,2020-05-02
GRO,0.24442058756091142,0.0357202134633129,6.84264073091131,141.0440454217052,65394.05826880857,2020-10-15
CHP,0.28631644316879107,0.03615374301208655,7.9194135742203144,88.68211160547672,122265.66610038708,2020-09-21
CHH,0.8497531608009447,0.31294462722488714,2.7153466999460516,217.14826437267007,7418.874847882377,2021-01-24
TAM,0.6633808698146363,0.2289462625596531,2.8975396339644943,1033.4501287576263,16019.102628843964,2020-12-07
MOR,0.5922842205941811,0.2115022285055973,2.8003686995596198,306.95643887221513,5078.960890132426,2021-01-18
NAY,0.3228014692506342,0.08917604315964588,3.6198227440159507,27.155470721001798,12048.176975870047,2020-12-06
DUR,0.1555905868639366,0.017851632422690965,8.715762412078771,10.543058554244405,22873.047400074138,2021-01-03
ZAC,0.3336880296413904,0.11406767915056272,2.925351266250815,7.143769043572267,4265.99835991308,2021-06-21
CAM,0.30337027850267767,0.07572925549355021,4.005985223616987,24.050912575042496,11736.213924475702,2020-11-10
TLA,0.47349589590934904,0.14271597777182196,3.317749724325798,55.65966763783109,12306.726023438316,2020-10-20
COL,0.1641719525360758,0.020227757768426665,8.11617157054997,3.5058005122652434,10086.41144111387,2020-12-18
