id,beta,eta,beta/eta,error,tauOVq,delta,q,epsilon,fE0
BCN-0,1.1366961786072223,0.4277521050047227,2.6573713263074934,1434.1885405785752,0.6666666666666666,0.1,1.0,0.25,9.0
BCN-1,1.2223219281243176,0.46126797475993914,2.649917173982128,1434.5110178295467,0.6666666666666666,0.1,1.05,0.2,10.0
BCN-2,0.9604715911569486,0.3573041255910838,2.6881066362389525,1425.8981241582717,0.6666666666666666,0.08333333333333333,1.0,0.25,10.0
BCN-3,0.9610783144626571,0.31122130246948415,3.088086537896591,1414.3435288105932,0.5384615384615384,0.06666666666666667,1.0,0.25,10.0
BCN-4,1.1983783839828615,0.45359661262207673,2.6419473837237732,1429.7672956560418,0.6666666666666666,0.09090909090909091,0.9500000000000001,0.2,10.0
BCN-5,1.4999301104385756,0.572820429639983,2.618499677780836,1437.6322263646248,0.6666666666666666,0.1111111111111111,0.9,0.15000000000000002,10.0
BCN-6,1.5821572237980615,0.6052272469595145,2.614153992151475,1433.2490377817244,0.6666666666666666,0.1,1.05,0.15000000000000002,9.0
BCN-7,1.1464224079115661,0.4895052934618514,2.342002064582189,1429.590940926648,0.8181818181818182,0.09090909090909091,1.0,0.2,10.0
BCN-8,1.112999116152508,0.36368828894979066,3.0603105735586777,1420.8407628536186,0.5384615384615384,0.07692307692307693,1.05,0.2,11.0
BCN-9,1.4667797540338638,0.48653267410697815,3.014761047089204,1427.8368503587662,0.5384615384615384,0.09090909090909091,1.0,0.15000000000000002,10.0
BCN-10,0.964252166544951,0.3595618277570051,2.681742309966787,1429.946839959909,0.6666666666666666,0.09090909090909091,1.0,0.25,11.0
BCN-11,1.0766352225830924,0.5123630854624209,2.101313020260625,1425.8124388278331,1.0,0.08333333333333333,1.05,0.2,10.0
BCN-12,1.053801799287773,0.3949071999390569,2.668479580646791,1434.3071625055711,0.6666666666666666,0.1,0.9500000000000001,0.25,10.0
BCN-13,1.124898801468438,0.36834223753005285,3.053950068315633,1416.8655227092904,0.5384615384615384,0.07142857142857142,0.9500000000000001,0.2,10.0
BCN-14,1.2735474458750633,0.48289788242621207,2.637301782058786,1428.9382991704836,0.6666666666666666,0.09090909090909091,1.0,0.2,9.0
BCN-15,1.2734080996987711,0.5475464561123095,2.325662207258588,1430.962453576851,0.8181818181818182,0.09090909090909091,1.0,0.2,9.0
BCN-16,1.2613674975657951,0.4145858810397227,3.0424757698030236,1433.083474383696,0.5384615384615384,0.1,0.9500000000000001,0.2,10.0
BCN-17,1.2169456703047685,0.5197064248879727,2.3416021277148764,1439.7396780943925,0.8181818181818182,0.1111111111111111,1.0,0.2,10.0
BCN-18,1.2322373366051562,0.46647589304119863,2.641588461456306,1433.9729878340584,0.6666666666666666,0.1,0.9500000000000001,0.2,10.0
BCN-19,1.1354825021695312,0.4843029553655902,2.3445706650961466,1429.5305111887662,0.8181818181818182,0.09090909090909091,1.0,0.2,10.0
BCN-20,1.0624573610528922,0.34502832839223024,3.0793337057387484,1429.248248253115,0.5384615384615384,0.09090909090909091,1.0,0.25,10.0
BCN-21,1.4838078240840984,0.5665150120642972,2.6191853569375354,1432.8919154758314,0.6666666666666666,0.1,1.0,0.15000000000000002,10.0
BCN-22,1.1376048151596472,0.4853124208530484,2.344066968572625,1429.5271218430826,0.8181818181818182,0.09090909090909091,1.0,0.2,10.0
BCN-23,1.1964651634653276,0.45187503321071526,2.6477788670112257,1429.2734793108186,0.6666666666666666,0.09090909090909091,1.05,0.2,10.0
BCN-24,1.1308215358251497,0.4257021105779267,2.6563681685532723,1425.0885425113659,0.6666666666666666,0.08333333333333333,1.0,0.2,10.0
BCN-25,0.9150599750367582,0.38534845651300775,2.374629921492548,1430.2368456674271,0.8181818181818182,0.09090909090909091,1.05,0.25,11.0
BCN-26,1.4882405871819855,0.6418557768559493,2.3186526332627975,1438.5502664502528,0.8181818181818182,0.1111111111111111,1.0,0.15000000000000002,10.0
BCN-27,1.2509093553056938,0.4106466690036641,3.0461938443107943,1433.1817401067842,0.5384615384615384,0.1,0.9500000000000001,0.2,10.0
BCN-28,1.137674209807219,0.4853456261540015,2.3440495772516385,1429.5271382895694,0.8181818181818182,0.09090909090909091,1.0,0.2,10.0
BCN-29,0.9309895523675896,0.3940486863539772,2.362625697300952,1407.5019291733338,0.8181818181818182,0.05555555555555555,1.0,0.2,10.0
BCN-30,1.1646827577440664,0.38108120260652306,3.0562587442725,1428.7693589336066,0.5384615384615384,0.09090909090909091,1.0,0.2,11.0
BCN-31,1.288683032778672,0.48827538178472973,2.63925456996893,1433.5252583374026,0.6666666666666666,0.1,0.9500000000000001,0.2,9.0
BCN-32,1.029492239711434,0.38524333330519483,2.672316820849063,1429.7376524094668,0.6666666666666666,0.09090909090909091,1.05,0.25,10.0
BCN-33,1.0618808813437601,0.451234465392815,2.3532796423680904,1429.6688528584702,0.8181818181818182,0.09090909090909091,1.0,0.2,11.0
BCN-34,1.1242815884902435,0.4235102324716221,2.654673966031216,1429.4372664163013,0.6666666666666666,0.09090909090909091,1.0,0.2,11.0
BCN-35,1.3512370707498687,0.44654712257355417,3.025967479002837,1428.625236475758,0.5384615384615384,0.09090909090909091,1.05,0.2,9.0
BCN-36,1.1549289305403727,0.49288702967128334,2.343191971009298,1429.7788051287519,0.8181818181818182,0.09090909090909091,1.1,0.2,10.0
BCN-37,1.1933460769406372,0.45097530946910874,2.6461450369543567,1429.1693389329773,0.6666666666666666,0.09090909090909091,1.0,0.2,10.0
BCN-38,1.320813946090437,0.43569482510962815,3.031511668191372,1428.4076823602886,0.5384615384615384,0.09090909090909091,1.0,0.2,9.0
BCN-39,0.9492353562353288,0.3537274482461659,2.683521906320194,1421.4712931432887,0.6666666666666666,0.07692307692307693,1.0,0.25,10.0
BCN-40,1.088693159284479,0.4646724546054988,2.342925965363637,1421.9560516895865,0.8181818181818182,0.07692307692307693,1.0,0.2,10.0
BCN-41,1.1137732648909624,0.41901539308997754,2.658072431844516,1429.2764947681972,0.6666666666666666,0.09090909090909091,1.0,0.2,11.0
BCN-42,1.3731886238008282,0.5908716043040673,2.3240051033052764,1428.881117399528,0.8181818181818182,0.09090909090909091,1.0,0.15000000000000002,10.0
BCN-43,1.027847835354757,0.3849076402926932,2.670375247872857,1429.7337852102778,0.6666666666666666,0.09090909090909091,1.0,0.25,10.0
BCN-44,1.1912936673194452,0.39006782474222684,3.0540680152399187,1433.6784332872169,0.5384615384615384,0.1,1.0,0.25,9.0
BCN-45,1.1635343064491905,0.43872961870596483,2.6520532392616682,1428.969606474051,0.6666666666666666,0.09090909090909091,0.9500000000000001,0.2,10.0
BCN-46,1.3813543099546777,0.5252024406421227,2.6301368825815183,1433.229015739439,0.6666666666666666,0.1,1.0,0.15000000000000002,11.0
BCN-47,1.1656505277127325,0.4396315473282659,2.6514260289022427,1428.9565481522538,0.6666666666666666,0.09090909090909091,0.9500000000000001,0.2,10.0
BCN-48,1.14698127654795,0.4326312048927451,2.651175559174705,1424.8820337473237,0.6666666666666666,0.08333333333333333,1.0,0.2,10.0
BCN-49,1.338899497332846,0.5094035500830187,2.6283670326102797,1420.3933852532539,0.6666666666666666,0.07692307692307693,1.0,0.15000000000000002,10.0
BCN-50,1.2914026675383756,0.48943903085760293,2.638536336743637,1433.4881485790984,0.6666666666666666,0.1,0.9500000000000001,0.2,9.0
BCN-51,1.201300544227397,0.45393316363564024,2.646426039036108,1429.2543867648387,0.6666666666666666,0.09090909090909091,1.05,0.2,10.0
BCN-52,1.1096615777024383,0.4179070787036781,2.655283038383891,1421.0384743592942,0.6666666666666666,0.07692307692307693,1.0,0.2,10.0
BCN-53,1.3798575615310018,0.5254949461927433,2.6258246088343764,1424.1388165235644,0.6666666666666666,0.08333333333333333,1.0,0.15000000000000002,10.0
BCN-54,1.0596305754884983,0.3976516280016655,2.6647208281618306,1424.8589787986073,0.6666666666666666,0.08333333333333333,0.9500000000000001,0.2,11.0
BCN-55,1.1396017256804245,0.48663785793325576,2.34178600596406,1429.6258684574093,0.8181818181818182,0.09090909090909091,0.9500000000000001,0.2,10.0
BCN-56,1.1355635549142606,0.42816928786874336,2.652136869897056,1424.729738822032,0.6666666666666666,0.08333333333333333,0.9500000000000001,0.2,10.0
BCN-57,0.9940328574601069,0.37177473107119297,2.6737504579614764,1425.4693720649907,0.6666666666666666,0.08333333333333333,1.0,0.25,10.0
BCN-58,1.3454741667766732,0.511547860074394,2.6302019259371,1428.4746636696386,0.6666666666666666,0.09090909090909091,1.0,0.15000000000000002,11.0
BCN-59,1.2831003548480007,0.42217690284116843,3.0392481119004495,1433.2940787341743,0.5384615384615384,0.1,1.0,0.2,10.0
BCN-60,1.5162582784691545,0.577966644066632,2.623435615246941,1439.6626209099147,0.6666666666666666,0.1111111111111111,1.05,0.15000000000000002,10.0
BCN-61,1.2479149352632435,0.47220599312765893,2.642734216475467,1433.9502723945652,0.6666666666666666,0.1,1.05,0.2,10.0
BCN-62,1.4470769387394826,0.5520312715292797,2.621367689425779,1428.4645248774334,0.6666666666666666,0.09090909090909091,1.05,0.15000000000000002,10.0
BCN-63,1.337706936397759,0.5085613155157379,2.6303749333375364,1433.8523754739392,0.6666666666666666,0.1,1.0,0.2,9.0
BCN-64,1.4639595948102264,0.5587033471466488,2.6202806950894555,1432.7363721822637,0.6666666666666666,0.1,0.9500000000000001,0.15000000000000002,10.0
BCN-65,1.15779893624665,0.4362672949424569,2.6538751578876942,1433.9830726328948,0.6666666666666666,0.1,1.0,0.2,11.0
BCN-66,1.3161586861120123,0.49943070730057765,2.635317906713923,1433.6257087895888,0.6666666666666666,0.1,1.0,0.2,9.0
BCN-67,1.2083925390900017,0.3960313469254009,3.0512547768538703,1433.4719978509297,0.5384615384615384,0.1,1.0,0.2,11.0
BCN-68,1.17677187509617,0.4439118116567834,2.650913636886976,1429.1732306997808,0.6666666666666666,0.09090909090909091,1.0,0.2,10.0
BCN-69,1.0852245016484772,0.40780184427388977,2.6611564339066933,1425.149086118107,0.6666666666666666,0.08333333333333333,1.05,0.2,11.0
BCN-70,0.9312123707739944,0.3918406692427327,2.3765077080274644,1434.954201905992,0.8181818181818182,0.1,1.0,0.25,11.0
BCN-71,1.1449148886491296,0.4317152793441185,2.6520138235286375,1424.8666936959526,0.6666666666666666,0.08333333333333333,1.0,0.2,10.0
BCN-72,1.1621427169046517,0.4376739745561266,2.655270325550555,1429.5633806076871,0.6666666666666666,0.09090909090909091,1.0,0.2,10.0
BCN-73,1.2831546101337061,0.42219730280481227,3.039229766768374,1433.294074670635,0.5384615384615384,0.1,1.0,0.2,10.0
BCN-74,1.2620968750863446,0.47869125821127145,2.6365571826033123,1434.5917961479827,0.6666666666666666,0.1,1.0,0.2,10.0
BCN-75,1.5551342431470054,0.5173141776698369,3.006169771243988,1432.5777835147724,0.5384615384615384,0.1,1.05,0.15000000000000002,10.0
BCN-76,1.503992303637406,0.5750391340058842,2.615460782921282,1433.1524875841503,0.6666666666666666,0.1,1.0,0.15000000000000002,10.0
BCN-77,1.3630527233681276,0.5189274187100582,2.626673161260939,1423.9279303067158,0.6666666666666666,0.08333333333333333,0.9500000000000001,0.15000000000000002,10.0
BCN-78,1.22895765954026,0.40333930153788283,3.046957375228242,1428.6820687624875,0.5384615384615384,0.09090909090909091,1.0,0.2,10.0
BCN-79,1.1571372824130322,0.4370149019717705,2.6478211090563195,1425.0476385385696,0.6666666666666666,0.08333333333333333,1.0,0.2,10.0
BCN-80,0.98954477823522,0.3707199993244981,2.6692511330338373,1414.8069947891806,0.6666666666666666,0.06666666666666667,1.05,0.25,9.0
BCN-81,1.2715962542799146,0.41917620193810484,3.033560226941694,1424.0394120141573,0.5384615384615384,0.08333333333333333,0.9500000000000001,0.2,9.0
BCN-82,1.1648994653094784,0.4979350498862904,2.339460669771083,1429.7882287365792,0.8181818181818182,0.09090909090909091,1.05,0.2,10.0
BCN-83,1.0562253423425867,0.3955306691614411,2.6704006154108733,1434.352220458878,0.6666666666666666,0.1,1.0,0.25,10.0
BCN-84,1.134503725218479,0.4281166802652163,2.649987205627352,1421.2004268049488,0.6666666666666666,0.07692307692307693,1.05,0.2,10.0
BCN-85,1.280883107749484,0.4855454214861485,2.638029422312295,1429.1411064245533,0.6666666666666666,0.09090909090909091,1.05,0.2,9.0
BCN-86,1.019960188752366,0.3811280464224574,2.6761614589281675,1429.8377870615827,0.6666666666666666,0.09090909090909091,1.05,0.25,10.0
