id,beta,eta,beta/eta,error,tauOVq,delta,q,epsilon,fE0
BCS-0,0.835176554516898,0.37749548686039586,2.21241467404817,47.588780076608316,0.8181818181818182,0.09090909090909091,1.0,0.2,10.0
BCS-1,1.1619982337515198,0.4665943422961241,2.4903821765889687,47.541647811657285,0.6666666666666666,0.09090909090909091,0.9500000000000001,0.15000000000000002,9.0
BCS-2,1.136931741546055,0.398774640082184,2.8510633005943986,47.64275690006384,0.5384615384615384,0.1,1.0,0.2,8.0
BCS-3,1.0025176707249928,0.3507110179394462,2.858529157752573,47.79313315473729,0.5384615384615384,0.1111111111111111,0.9500000000000001,0.2,10.0
BCS-4,1.0091232310186362,0.3550354565412966,2.8423167670332616,47.542006894331756,0.5384615384615384,0.09090909090909091,1.0,0.2,9.0
BCS-5,0.6108034147488787,0.2527380540133797,2.416744946198499,47.2985198328606,0.6666666666666666,0.05555555555555555,1.0,0.25,10.0
BCS-6,0.8352159953807762,0.3775148913949078,2.2124054293452495,47.58877992771039,0.8181818181818182,0.09090909090909091,1.0,0.2,10.0
BCS-7,0.9196410826946786,0.32264327909798485,2.8503339206870293,47.67132771013403,0.5384615384615384,0.1,1.05,0.2,11.0
BCS-8,0.7466256505707526,0.29835012669817546,2.5025149438802585,47.840360255121155,0.6666666666666666,0.1111111111111111,0.9500000000000001,0.25,11.0
BCS-9,0.85484407903956,0.34265209682515585,2.4947872403528843,47.68701075237579,0.6666666666666666,0.1,1.0,0.2,11.0
BCS-10,0.9727996045580735,0.34129095598688647,2.8503527195588845,47.6577878345614,0.5384615384615384,0.1,1.0,0.2,10.0
BCS-11,0.9427585012856526,0.37830813786175255,2.4920386503294587,47.69379162581911,0.6666666666666666,0.1,1.05,0.2,10.0
BCS-12,0.9589514703292285,0.3364757362072077,2.8499869890727845,47.648828850618735,0.5384615384615384,0.1,0.9500000000000001,0.2,10.0
BCS-13,1.1454334151317551,0.4027527938187869,2.8440110974056387,47.53006985933369,0.5384615384615384,0.09090909090909091,1.0,0.15000000000000002,10.0
BCS-14,1.224134805369843,0.4903981557861072,2.4962059724869023,47.658962253943336,0.6666666666666666,0.1,1.0,0.15000000000000002,9.0
BCS-15,1.070761257893305,0.4310329238582539,2.4841751027014984,47.47950504894183,0.6666666666666666,0.08333333333333333,1.05,0.15000000000000002,10.0
BCS-16,1.0914897217522694,0.4918650769283279,2.2190835921276757,47.688032030487186,0.8181818181818182,0.1,1.0,0.15000000000000002,10.0
BCS-17,0.7101049229196831,0.28964190449488164,2.451665010827988,47.350321059266506,0.6666666666666666,0.06666666666666667,1.0,0.25,9.0
BCS-18,0.8429790533308504,0.38099232651408954,2.2125880094324577,47.59302705775233,0.8181818181818182,0.09090909090909091,1.05,0.2,10.0
BCS-19,0.8105612075043891,0.32597376352890006,2.486584192327266,47.56939094112757,0.6666666666666666,0.09090909090909091,0.9500000000000001,0.2,11.0
