id,beta,eta,beta/eta,error,tauOVq,delta,q,epsilon,fE0
CHH-0,0.7804301683447342,0.24634926281394398,3.167982560330032,217.14287632628628,0.5384615384615384,0.1,1.0,0.25,10.0
CHH-1,0.7359870971742943,0.2679670088777904,2.7465586165121922,217.18649149264235,0.6666666666666666,0.1,1.0,0.25,10.0
CHH-2,1.038864168919089,0.3885097264140232,2.6739720997666927,217.11640518196705,0.6666666666666666,0.1,1.0,0.15000000000000002,10.0
CHH-3,0.7016740226182977,0.2889326819175396,2.4285034768706195,216.77908031093838,0.8181818181818182,0.09090909090909091,0.9500000000000001,0.2,11.0
CHH-4,0.8561799162922423,0.3154399479195309,2.7142406088358055,217.15856154975887,0.6666666666666666,0.1,1.05,0.2,10.0
CHH-5,0.8099067259309644,0.2565847843906121,3.1564877389533823,217.14331784536282,0.5384615384615384,0.1,1.05,0.2,12.0
CHH-6,1.1076550977706863,0.36104607395256,3.0679051170522564,217.087407071891,0.5384615384615384,0.1,1.0,0.15000000000000002,10.0
CHH-7,1.0001575103550908,0.3732914185529415,2.679294140305143,217.13188907759576,0.6666666666666666,0.1,1.0,0.2,8.0
CHH-8,0.8486444292034564,0.31318171550349033,2.709750880057359,216.3631526104426,0.6666666666666666,0.08333333333333333,1.0,0.2,9.0
CHH-9,0.8626215048558485,0.31821666589535796,2.7107992676270203,217.15267984338723,0.6666666666666666,0.1,1.05,0.2,10.0
CHH-10,0.8741775139046054,0.3663850367237899,2.3859530992899955,217.1675668081225,0.8181818181818182,0.1,1.05,0.2,9.0
CHH-11,0.808256083006105,0.2967557242287317,2.7236410859698257,216.74188700869013,0.6666666666666666,0.09090909090909091,0.9500000000000001,0.2,10.0
CHH-12,0.6800026444453602,0.2797537041236566,2.4307190018287863,216.39544861880674,0.8181818181818182,0.08333333333333333,0.9500000000000001,0.2,11.0
CHH-13,0.6652887489800499,0.2729523780638515,2.437380299447032,216.40013435166733,0.8181818181818182,0.08333333333333333,0.9500000000000001,0.25,9.0
CHH-14,0.9951003107799087,0.3716416361533735,2.67758026543947,216.71120363015999,0.6666666666666666,0.09090909090909091,0.9500000000000001,0.15000000000000002,10.0
CHH-15,0.8814589936881627,0.32603169958705147,2.7035990512720387,216.7417643609246,0.6666666666666666,0.09090909090909091,1.0,0.2,9.0
CHH-16,0.8079614277852886,0.29630832291546105,2.726759140059005,216.76251912583368,0.6666666666666666,0.09090909090909091,1.0,0.2,10.0
CHH-17,0.7365846989710987,0.2682284157425101,2.746109866592935,217.18888608449862,0.6666666666666666,0.1,1.0,0.25,10.0
CHH-18,1.014431165609031,0.43017845889069095,2.358163558967976,217.1672440987169,0.8181818181818182,0.1,1.0,0.15000000000000002,10.0
CHH-19,0.8994898217946293,0.28808465711964915,3.122310749860752,217.1107287497484,0.5384615384615384,0.1,0.9500000000000001,0.2,10.0
CHH-20,0.8513147891601186,0.3133183447062545,2.717092067999568,217.1703271777886,0.6666666666666666,0.1,1.05,0.2,10.0
CHH-21,0.7432873165511217,0.30743643383891245,2.4176943092586813,217.1771374743921,0.8181818181818182,0.1,1.0,0.2,11.0
CHH-22,1.0522006870423364,0.39428500248287074,2.668629748573934,217.12076337146883,0.6666666666666666,0.1,1.0,0.15000000000000002,10.0
CHH-23,0.8098095538428995,0.2978739900085585,2.718631303859837,217.22237988178992,0.6666666666666666,0.1,0.9500000000000001,0.2,11.0
CHH-24,0.859873249744144,0.31711078063361436,2.7115863044013957,217.16239295873555,0.6666666666666666,0.1,1.05,0.2,10.0
CHH-25,1.034602956621861,0.3352948122396387,3.0856515485912723,217.09276205487072,0.5384615384615384,0.1,1.0,0.15000000000000002,11.0
CHH-26,0.6022655416055194,0.2445828909082767,2.4624189344109952,215.4897618381244,0.8181818181818182,0.06666666666666667,1.0,0.2,11.0
CHH-27,0.9198743240006378,0.2944321552922704,3.1242318730014977,216.83849044746097,0.5384615384615384,0.09090909090909091,1.05,0.2,9.0
CHH-28,0.9989340468065833,0.323246359669199,3.0903180095480844,216.70031742392726,0.5384615384615384,0.09090909090909091,1.0,0.15000000000000002,11.0
