id,beta,eta,beta/eta,error,tauOVq,delta,q,epsilon,fE0
CMX-0,2.4577347150844884,0.8159546017412812,3.012097376299588,11260.547941216015,0.5384615384615384,0.1,1.0,0.25,10.0
CMX-1,2.322239867757823,1.0,2.322239867757823,11197.326052044928,0.8181818181818182,0.07142857142857142,1.0,0.2,11.0
CMX-2,2.5434238846577695,0.9733351274245999,2.613101914227171,11234.342771855703,0.6666666666666666,0.09090909090909091,1.0,0.25,9.0
CMX-3,2.7910085070357575,0.9327259761295087,2.992313475193948,11220.409330789795,0.5384615384615384,0.09090909090909091,1.0,0.2,9.0
CMX-4,2.6110077282534174,1.0,2.6110077282534174,11222.235393162557,0.6666666666666666,0.09090909090909091,0.9500000000000001,0.2,10.0
CMX-5,2.7245037446303804,0.9091990980388077,2.9965975004894796,11245.261011607978,0.5384615384615384,0.1,1.0,0.2,10.0
CMX-6,2.333182739576956,1.0,2.333182739576956,11788.252950044764,0.8181818181818182,0.09090909090909091,1.05,0.2,10.0
CMX-7,2.329559014907317,1.0,2.329559014907317,11522.541219890649,0.8181818181818182,0.09090909090909091,1.05,0.2,11.0
CMX-8,2.5680444823432067,0.9830551043085672,2.612309799407881,11224.439074986023,0.6666666666666666,0.09090909090909091,1.0,0.2,11.0
CMX-9,2.479247390525691,0.9474807149668825,2.616673195941881,11259.745782816964,0.6666666666666666,0.1,1.0,0.25,10.0
CMX-10,2.816480592551181,0.9414615371725268,2.991604522697616,11202.332891962347,0.5384615384615384,0.09090909090909091,0.9500000000000001,0.15000000000000002,11.0
CMX-11,2.4026886023984106,0.7971505262962525,3.0140964888549506,11211.300054421152,0.5384615384615384,0.08333333333333333,0.9500000000000001,0.25,9.0
CMX-12,2.5491774688167217,0.8481708299684015,3.0055000463900545,11225.822176118705,0.5384615384615384,0.09090909090909091,1.0,0.2,11.0
CMX-13,2.615979108619478,1.0,2.615979108619478,11319.092474200792,0.6666666666666666,0.1,1.0,0.2,10.0
CMX-14,2.611889990865976,1.0,2.611889990865976,11248.695553029695,0.6666666666666666,0.1,1.0,0.2,11.0
CMX-15,2.6110077297702685,1.0,2.6110077297702685,11222.235393159817,0.6666666666666666,0.09090909090909091,0.9500000000000001,0.2,10.0
CMX-16,2.614805365903115,1.0,2.614805365903115,11229.959487536304,0.6666666666666666,0.07692307692307693,0.9500000000000001,0.15000000000000002,11.0
CMX-17,2.6232919839539646,1.0,2.6232919839539646,11633.893768533604,0.6666666666666666,0.08333333333333333,1.0,0.15000000000000002,10.0
CMX-18,2.404062869783642,0.9175357093392461,2.620130034519205,11237.066158990034,0.6666666666666666,0.09090909090909091,1.0,0.25,10.0
CMX-19,2.4653360286536357,0.8187302761402586,3.0111699792952242,11260.339344212094,0.5384615384615384,0.1,1.0,0.25,10.0
CMX-20,2.3325029585405117,1.0,2.3325029585405117,11754.404865137014,0.8181818181818182,0.1111111111111111,1.0,0.25,9.0
CMX-21,2.3295590094831815,1.0,2.3295590094831815,11522.541219890323,0.8181818181818182,0.09090909090909091,1.05,0.2,11.0
CMX-22,2.6610336944661155,0.8872561685490484,2.999171816204748,11223.253905944151,0.5384615384615384,0.09090909090909091,1.0,0.2,10.0
CMX-23,2.3209780505159774,1.0,2.3209780505159774,11220.500550870041,0.8181818181818182,0.08333333333333333,1.0,0.25,10.0
CMX-24,2.611889982624648,1.0,2.611889982624648,11248.695553023388,0.6666666666666666,0.1,1.0,0.2,11.0
CMX-25,2.6204662748558123,1.0,2.6204662748558123,11502.028779308033,0.6666666666666666,0.1,1.0,0.2,9.0
CMX-26,2.7294866875557586,0.911014715966913,2.9960950572118863,11245.143445504604,0.5384615384615384,0.1,1.0,0.2,10.0
CMX-27,2.4793940575040034,0.9475411357992014,2.616661128292614,11259.745532278064,0.6666666666666666,0.1,1.0,0.25,10.0
CMX-28,2.609699903652377,0.9997650115942274,2.610313297012609,11183.713332477486,0.6666666666666666,0.07692307692307693,1.05,0.2,10.0
CMX-29,2.970481081157521,0.99531322771295,2.984468605911277,11202.899115256694,0.5384615384615384,0.09090909090909091,1.05,0.15000000000000002,11.0
CMX-30,2.861171297659389,0.9570827779334732,2.989471092393085,11242.076689991643,0.5384615384615384,0.1,1.0,0.2,9.0
CMX-31,2.630287094766564,1.0,2.630287094766564,12175.700322997887,0.6666666666666666,0.1,1.05,0.15000000000000002,10.0
CMX-32,2.617892624836639,1.0,2.617892624836639,11385.393450779484,0.6666666666666666,0.1,1.05,0.2,10.0
CMX-33,2.5461366484707777,0.8470609999528317,3.005848042363606,11225.788422571437,0.5384615384615384,0.09090909090909091,1.0,0.2,11.0
CMX-34,2.6262930699065854,1.0,2.6262930699065854,11831.610560671168,0.6666666666666666,0.1,1.05,0.15000000000000002,11.0
CMX-35,2.3382767214123206,1.0,2.3382767214123206,12255.903655026283,0.8181818181818182,0.1111111111111111,1.05,0.2,10.0
CMX-36,2.6232919802101553,1.0,2.6232919802101553,11633.893768544973,0.6666666666666666,0.08333333333333333,1.0,0.15000000000000002,10.0
CMX-37,2.6125616922626187,1.0,2.6125616922626187,11221.100021799073,0.6666666666666666,0.08333333333333333,1.05,0.2,10.0
CMX-38,2.285144004745205,0.7560208259817929,3.0225939897590037,11213.537692974527,0.5384615384615384,0.08333333333333333,0.9500000000000001,0.25,10.0
CMX-39,2.615979108283085,1.0,2.615979108283085,11319.092474200193,0.6666666666666666,0.1,1.0,0.2,10.0
CMX-40,2.6159791091450484,1.0,2.6159791091450484,11319.092474198631,0.6666666666666666,0.1,1.0,0.2,10.0
CMX-41,2.59716692697541,0.9943008404871326,2.6120534361642433,11227.687809450224,0.6666666666666666,0.09090909090909091,1.05,0.2,11.0
CMX-42,2.334321215852501,1.0,2.334321215852501,11877.955587482104,0.8181818181818182,0.1,1.0,0.2,10.0
CMX-43,2.3399053945851183,1.0,2.3399053945851183,12462.096379199289,0.8181818181818182,0.07142857142857142,0.9500000000000001,0.15000000000000002,9.0
CMX-44,2.62230859355386,1.0,2.62230859355386,11556.726955510487,0.6666666666666666,0.1,0.9500000000000001,0.15000000000000002,11.0
CMX-45,2.6207265696934954,1.0,2.6207265696934954,11470.923969886031,0.6666666666666666,0.1,1.0,0.15000000000000002,12.0
CMX-46,2.3429245873256037,1.0,2.3429245873256037,12783.134096830687,0.8181818181818182,0.09090909090909091,1.0,0.15000000000000002,10.0
CMX-47,2.289921919212548,0.7575172126044641,3.02293054350466,11239.056492507467,0.5384615384615384,0.09090909090909091,1.0,0.25,11.0
CMX-48,2.6499324453597484,1.0,2.6499324453597484,14521.08355124051,0.6666666666666666,0.1,1.0,0.1,9.0
CMX-49,2.6126853334777493,1.0,2.6126853334777493,11270.3960712271,0.6666666666666666,0.1,1.05,0.25,9.0
CMX-50,2.624402018258007,1.0,2.624402018258007,11691.999503283174,0.6666666666666666,0.1,1.0,0.15000000000000002,11.0
CMX-51,2.329332835714968,1.0,2.329332835714968,11507.108282640043,0.8181818181818182,0.1,0.9500000000000001,0.2,11.0
CMX-52,2.4616336463926713,0.8173783245504332,3.011620901186236,11260.376597298717,0.5384615384615384,0.1,1.0,0.25,10.0
CMX-53,2.320675828248575,1.0,2.320675828248575,11261.0393991286,0.8181818181818182,0.1,0.9500000000000001,0.25,11.0
CMX-54,2.6170528467705774,1.0,2.6170528467705774,11359.551462540832,0.6666666666666666,0.1111111111111111,0.9500000000000001,0.2,10.0
CMX-55,2.504453244242248,0.9578000186242787,2.614797656654341,11203.84239226643,0.6666666666666666,0.08333333333333333,1.0,0.2,11.0
CMX-56,2.3373017903565882,1.0,2.3373017903565882,12165.827227301916,0.8181818181818182,0.07142857142857142,1.0,0.15000000000000002,10.0
CMX-57,2.6152019190924194,1.0,2.6152019190924194,11277.230894375178,0.6666666666666666,0.08333333333333333,1.0,0.2,9.0
CMX-58,2.328279353312484,1.0,2.328279353312484,11446.919207467006,0.8181818181818182,0.09090909090909091,1.0,0.2,11.0
CMX-59,2.323581027454874,0.9995653798414176,2.3245913417124484,11308.238010236615,0.8181818181818182,0.09090909090909091,1.05,0.25,10.0
CMX-60,2.3272905548956024,1.0,2.3272905548956024,11418.336212409944,0.8181818181818182,0.09090909090909091,1.0,0.25,9.0
CMX-61,2.4640398362713207,0.8182569598231049,3.0113276846481205,11260.338474535953,0.5384615384615384,0.1,1.0,0.25,10.0
CMX-62,2.630727761233449,1.0,2.630727761233449,12215.653570231587,0.6666666666666666,0.1,0.9500000000000001,0.15000000000000002,9.0
CMX-63,2.6109572599598048,1.0,2.6109572599598048,11225.585504566105,0.6666666666666666,0.09090909090909091,1.05,0.2,11.0
CMX-64,2.6151801225055484,0.9998404629851103,2.6155974071080315,11296.10177543058,0.6666666666666666,0.09090909090909091,0.9500000000000001,0.2,9.0
CMX-65,2.632801860711824,1.0,2.632801860711824,12425.04866556778,0.6666666666666666,0.1,1.0,0.15000000000000002,9.0
CMX-66,2.729789240608717,0.9111244519247035,2.9960662726614107,11245.142654081432,0.5384615384615384,0.1,1.0,0.2,10.0
CMX-67,2.6159791090279643,1.0,2.6159791090279643,11319.09247419999,0.6666666666666666,0.1,1.0,0.2,10.0
CMX-68,2.852350816490102,0.9545527814836203,2.988154109253986,11144.719609148175,0.5384615384615384,0.07142857142857142,1.0,0.15000000000000002,10.0
CMX-69,2.3369924246818896,0.8907975678198339,2.6234831673390384,11215.597450742594,0.6666666666666666,0.08333333333333333,1.0,0.25,10.0
CMX-70,2.6244020434909126,1.0,2.6244020434909126,11691.999503278334,0.6666666666666666,0.1,1.0,0.15000000000000002,11.0
CMX-71,2.408189582851492,0.9192452077723308,2.6197466818319577,11236.988448531942,0.6666666666666666,0.09090909090909091,1.0,0.25,10.0
CMX-72,2.62632055673695,1.0,2.62632055673695,11831.483575803524,0.6666666666666666,0.1,0.9500000000000001,0.15000000000000002,10.0
CMX-73,2.3310145812087653,0.9999999925736477,2.331014598519701,11646.656467548746,0.8181818181818182,0.1,1.05,0.25,9.0
CMX-74,2.345364039821145,0.8942685177464254,2.6226619782294356,11215.1749260111,0.6666666666666666,0.08333333333333333,1.0,0.25,10.0
CMX-75,2.479242499995856,0.9475225135683374,2.616552603757259,11248.564495156614,0.6666666666666666,0.1,0.9500000000000001,0.2,12.0
CMX-76,2.4501623780202983,0.9362708079046843,2.6169377036368453,11184.136617889068,0.6666666666666666,0.07692307692307693,1.0,0.2,11.0
CMX-77,2.6159791085784203,1.0,2.6159791085784203,11319.09247420001,0.6666666666666666,0.1,1.0,0.2,10.0
CMX-78,2.6159791083456327,1.0,2.6159791083456327,11319.092474199138,0.6666666666666666,0.1,1.0,0.2,10.0
CMX-79,2.4713635238306497,0.8213250243473286,3.008995769725311,11192.348205572427,0.5384615384615384,0.07692307692307693,1.05,0.25,9.0
CMX-80,2.4794043100564203,0.947971179224685,2.615484905442215,11238.72445440168,0.6666666666666666,0.09090909090909091,1.05,0.25,10.0
CMX-81,2.617892624956708,1.0,2.617892624956708,11385.393450776724,0.6666666666666666,0.1,1.05,0.2,10.0
CMX-82,2.461161419655929,0.8172059063868624,3.011678452665054,11260.390139070585,0.5384615384615384,0.1,1.0,0.25,10.0
CMX-83,2.4217747422914524,0.924507937056806,2.619528340666531,11259.182230477738,0.6666666666666666,0.1,0.9500000000000001,0.25,10.0
CMX-84,2.661032692946606,0.8872558286452638,2.999171836390968,11223.253907686014,0.5384615384615384,0.09090909090909091,1.0,0.2,10.0
CMX-85,2.613152199714723,1.0,2.613152199714723,11243.714287094443,0.6666666666666666,0.09090909090909091,1.0,0.2,10.0
CMX-86,2.6106042694833915,1.0,2.6106042694833915,11202.360092549676,0.6666666666666666,0.08333333333333333,1.0,0.2,10.0
CMX-87,2.328319035928462,1.0,2.328319035928462,11446.398584622426,0.8181818181818182,0.08333333333333333,0.9500000000000001,0.2,10.0
CMX-88,2.627030768380022,0.999431116997377,2.6285260921958233,12008.041250651124,0.6666666666666666,0.1,1.0,0.15000000000000002,10.0
CMX-89,2.777413262034288,0.9277736031798313,2.9936325548765796,11221.165525031516,0.5384615384615384,0.09090909090909091,1.0,0.2,9.0
CMX-90,2.618359683610518,1.0,2.618359683610518,11401.607139055333,0.6666666666666666,0.1,0.9500000000000001,0.2,9.0
