id,beta,eta,beta/eta,error,tauOVq,delta,q,epsilon,fE0
COA-0,0.6122889828517982,0.2264919551532596,2.70335863557486,92.11218017526957,0.6666666666666666,0.1,1.0,0.15000000000000002,10.0
COA-1,0.42944810612823414,0.17526583582031713,2.450267070694286,92.1622765998448,0.8181818181818182,0.09090909090909091,1.0,0.2,10.0
COA-2,0.4363466143207058,0.13489279693404163,3.2347658602858216,92.16495350514194,0.5384615384615384,0.09090909090909091,1.05,0.25,10.0
COA-3,0.48849076867604385,0.17712321138903273,2.7579150402999675,92.11015447096919,0.6666666666666666,0.1,0.9500000000000001,0.2,10.0
COA-4,0.3634920502792845,0.12820376054803734,2.8352682380411593,92.55097576643414,0.6666666666666666,0.058823529411764705,0.9500000000000001,0.2,10.0
COA-5,0.460983638620684,0.1435003654374964,3.2124213566652684,92.12094015790092,0.5384615384615384,0.1,1.05,0.25,10.0
COA-6,0.36106878613128957,0.12624927075234746,2.8599673010354865,92.1635775782986,0.6666666666666666,0.09090909090909091,1.0,0.25,11.0
COA-7,0.5059277055569876,0.15877866423004602,3.1863708389936805,92.17094400467116,0.5384615384615384,0.09090909090909091,1.0,0.2,10.0
COA-8,0.34743120310563935,0.1392546199744892,2.494934840720452,92.23192619925953,0.8181818181818182,0.08333333333333333,1.05,0.25,10.0
COA-9,0.4950715249183035,0.17993884494405188,2.7513321266024318,92.12086517885113,0.6666666666666666,0.1,1.05,0.2,10.0
COA-10,0.4855101632054811,0.17688099082423223,2.744840816093888,92.22740376492605,0.6666666666666666,0.08333333333333333,0.9500000000000001,0.2,9.0
COA-11,0.6164169653944868,0.22835663211823318,2.699360906125699,92.11249023162361,0.6666666666666666,0.1,1.0,0.15000000000000002,10.0
COA-12,0.3837523200660186,0.13530624776985142,2.836175907551294,92.10889698232093,0.6666666666666666,0.1,1.0,0.25,11.0
COA-13,0.4130403128091701,0.14740584403162307,2.802061990978867,92.22425583949008,0.6666666666666666,0.08333333333333333,1.05,0.2,11.0
COA-14,0.5336623815925289,0.19517432763755832,2.7342857436842207,92.11021872190678,0.6666666666666666,0.1,1.0,0.2,9.0
COA-15,0.38099798111933436,0.13412184287828816,2.8406855508619833,92.10851822406097,0.6666666666666666,0.1,0.9500000000000001,0.25,11.0
COA-16,0.5549187467250475,0.20272207445580026,2.737337550509513,92.07699304954176,0.6666666666666666,0.1111111111111111,1.0,0.2,9.0
COA-17,0.5757767423351505,0.18323944852077584,3.142209535027434,92.11237257513491,0.5384615384615384,0.1,0.9500000000000001,0.2,9.0
COA-18,0.4970052601492639,0.18085393861303864,2.7481030491278022,92.11607885717336,0.6666666666666666,0.1,1.0,0.2,10.0
COA-19,0.4687793004174271,0.16990103992904404,2.7591314368246596,92.17071721687648,0.6666666666666666,0.09090909090909091,0.9500000000000001,0.2,10.0
COA-20,0.4731069494792959,0.14849163047612832,3.186084952817277,92.28575276545536,0.5384615384615384,0.07692307692307693,1.0,0.2,10.0
COA-21,0.5330845177132606,0.19489382767197366,2.735256031866215,92.11012699410185,0.6666666666666666,0.1,1.0,0.2,9.0
COA-22,0.34026485075591034,0.1353331195865048,2.5142762672991767,92.21875730014139,0.8181818181818182,0.08333333333333333,1.0,0.25,10.0
COA-23,0.47454926819393395,0.17233328012095012,2.753671652166529,92.17600735994347,0.6666666666666666,0.09090909090909091,1.05,0.2,10.0
COA-24,0.6172513663738182,0.25945485726815565,2.379031839576884,92.11195904944142,0.8181818181818182,0.1,0.9500000000000001,0.15000000000000002,9.0
COA-25,0.46089671058947446,0.16595724573986756,2.777201492677907,92.1702922883739,0.6666666666666666,0.09090909090909091,1.0,0.2,10.0
COA-26,0.3251806419509819,0.11254727641131601,2.889280419035416,92.21994037786367,0.6666666666666666,0.08333333333333333,1.0,0.30000000000000004,10.0
COA-27,0.4530753527029031,0.14021261416282307,3.2313451639719486,92.1097943718083,0.5384615384615384,0.1,1.0,0.25,10.0
COA-28,0.42896012557950075,0.17501018467686827,2.4510580705432394,92.16222884493725,0.8181818181818182,0.09090909090909091,1.0,0.2,10.0
COA-29,0.5774114251929233,0.21287525233518093,2.712440355836972,92.16734523888516,0.6666666666666666,0.09090909090909091,0.9500000000000001,0.15000000000000002,10.0
COA-30,0.4536253542758594,0.1404468926304179,3.22987106214989,92.10971353662688,0.5384615384615384,0.1,1.0,0.25,10.0
COA-31,0.6333581817696226,0.20368872150910725,3.1094415885039766,92.16892199120772,0.5384615384615384,0.09090909090909091,1.0,0.15000000000000002,10.0
COA-32,0.6019023966849347,0.2221175879134092,2.709836723598771,92.11868459492456,0.6666666666666666,0.1,0.9500000000000001,0.15000000000000002,10.0
COA-33,0.504738801176356,0.1837706555677968,2.746569084258109,92.16506857445057,0.6666666666666666,0.09090909090909091,1.0,0.2,9.0
COA-34,0.6637155542659503,0.21470498595128343,3.091290830183829,92.22766968716711,0.5384615384615384,0.08333333333333333,1.05,0.15000000000000002,9.0
COA-35,0.36296569889176145,0.12760739905552704,2.844393832788808,92.13260470333614,0.6666666666666666,0.1,1.0,0.30000000000000004,10.0
COA-36,0.43452128743348367,0.15596027467338813,2.786102347815543,92.16425548951617,0.6666666666666666,0.09090909090909091,1.0,0.2,11.0
COA-37,0.5287307676845024,0.1931386401891192,2.737571141470061,92.11057550091704,0.6666666666666666,0.1,0.9500000000000001,0.2,9.0
COA-38,0.5292429439245016,0.19337537637266625,2.736868332732101,92.11054706381128,0.6666666666666666,0.1,0.9500000000000001,0.2,9.0
COA-39,0.41163487464247317,0.16649900597273412,2.472296289323688,92.11466735336836,0.8181818181818182,0.1,0.9500000000000001,0.2,11.0
COA-40,0.45302273271221255,0.18555178958323695,2.4414894285295503,92.10858336752852,0.8181818181818182,0.1,1.0,0.2,10.0
COA-41,0.5056010591619303,0.18417340198813037,2.7452447188574784,92.16463731281182,0.6666666666666666,0.09090909090909091,1.0,0.2,9.0
COA-42,0.49220993328731344,0.1786216421721628,2.755600762044845,92.10985539723583,0.6666666666666666,0.1,1.0,0.2,10.0
COA-43,0.49151161248570857,0.17829616685696018,2.756714410355375,92.10966059116987,0.6666666666666666,0.1,1.0,0.2,10.0
COA-44,0.5212789726193883,0.18972106592666904,2.747607231032915,92.12078632081605,0.6666666666666666,0.1,0.9500000000000001,0.2,9.0
COA-45,0.49191219440762346,0.17847285013644595,2.7562298356951604,92.1097789350903,0.6666666666666666,0.1,1.0,0.2,10.0
COA-46,0.46797335181612615,0.1462860594493175,3.199029036517734,92.2846982732695,0.5384615384615384,0.07692307692307693,1.0,0.2,10.0
COA-47,0.6425797441577124,0.23950507351558165,2.6829483598221464,92.1764214867344,0.6666666666666666,0.09090909090909091,1.0,0.15000000000000002,9.0
COA-48,0.4551893630138702,0.16369731153369316,2.780677084731354,92.10929328730847,0.6666666666666666,0.1,1.0,0.2,11.0
COA-49,0.3913633170980215,0.13838479836682935,2.828080263994017,92.16339050055795,0.6666666666666666,0.09090909090909091,1.05,0.25,10.0
COA-50,0.46811706124457625,0.16914986634065213,2.7674692943701884,92.1636572221753,0.6666666666666666,0.09090909090909091,1.05,0.2,10.0
COA-51,0.46000104084238397,0.1655311978153065,2.7789386346109564,92.17255008579242,0.6666666666666666,0.09090909090909091,1.0,0.2,10.0
COA-52,0.4528579095705936,0.1627000308392003,2.7833916640013556,92.21562317453844,0.6666666666666666,0.09090909090909091,0.9500000000000001,0.2,10.0
COA-53,0.39402461398771266,0.14000927779146485,2.814275026649219,92.28217564145471,0.6666666666666666,0.07692307692307693,1.0,0.2,11.0
COA-54,0.40665430660145746,0.14383291026952033,2.8272688485510793,92.11763656893145,0.6666666666666666,0.1,1.0,0.25,10.0
COA-55,0.45932421047541133,0.16522595499840603,2.779976127115395,92.174517235476,0.6666666666666666,0.09090909090909091,1.0,0.2,10.0
COA-56,0.4129211600445622,0.14689081612838453,2.8110754023155784,92.10853615730818,0.6666666666666666,0.1,1.0,0.25,10.0
COA-57,0.423031805071353,0.15253540799467646,2.773335126793098,92.26182811235284,0.6666666666666666,0.08333333333333333,0.9500000000000001,0.2,11.0
COA-58,0.48082578270518,0.1734733914793023,2.771755245025857,92.13731810441885,0.6666666666666666,0.1,1.0,0.2,10.0
COA-59,0.6132249740113144,0.22700280883331586,2.701398177242796,92.11433494462386,0.6666666666666666,0.1,1.0,0.15000000000000002,10.0
COA-60,0.4217926491734697,0.15114008271113577,2.7907398329244972,92.13359772941689,0.6666666666666666,0.1,1.0,0.25,10.0
COA-61,0.5572187909309699,0.20516272029933336,2.7159846102546563,92.22450672624687,0.6666666666666666,0.08333333333333333,1.0,0.15000000000000002,10.0
COA-62,0.48263672653329054,0.1507905624405276,3.20070910753214,92.2325262671794,0.5384615384615384,0.08333333333333333,1.0,0.2,10.0
COA-63,0.5114240150430854,0.1608710057049653,3.1790937888523456,92.16975177160626,0.5384615384615384,0.09090909090909091,1.05,0.2,10.0
COA-64,0.628438728679214,0.23352469494010553,2.6911018076285087,92.12148775634768,0.6666666666666666,0.1,1.05,0.15000000000000002,10.0
COA-65,0.3326657973794724,0.11570157391862199,2.8752054627489416,92.27828387525199,0.6666666666666666,0.07692307692307693,1.0,0.25,11.0
COA-66,0.48377505622271394,0.15130781698265378,3.1972905687891515,92.22990723575583,0.5384615384615384,0.08333333333333333,1.0,0.2,10.0
COA-67,0.5505578302452664,0.17487205426897712,3.1483465585555095,92.16862722409613,0.5384615384615384,0.09090909090909091,0.9500000000000001,0.2,9.0
COA-68,0.38946144157433576,0.11865475836475126,3.2823078226421387,92.29228776532547,0.5384615384615384,0.07692307692307693,0.9500000000000001,0.25,10.0
COA-69,0.473331217523369,0.14780636237344003,3.202373767426022,92.16672118830846,0.5384615384615384,0.09090909090909091,0.9500000000000001,0.2,11.0
COA-70,0.6367954452341752,0.23662378558079264,2.691172587198544,92.16677385769437,0.6666666666666666,0.09090909090909091,1.05,0.15000000000000002,9.0
COA-71,0.49275424557257125,0.178872793222792,2.7547747015882367,92.11013474301097,0.6666666666666666,0.1,1.0,0.2,10.0
COA-72,0.4100367346860394,0.14697854319485218,2.7897727503153034,92.34030754985663,0.6666666666666666,0.07142857142857142,0.9500000000000001,0.2,10.0
COA-73,0.5021051136172877,0.1825504409219957,2.750500689460611,92.1680023519354,0.6666666666666666,0.09090909090909091,1.0,0.2,9.0
COA-74,0.48763692554028626,0.17672374880764202,2.759317459200478,92.11001955572007,0.6666666666666666,0.1,0.9500000000000001,0.2,10.0
COA-75,0.5463512714443647,0.22777211962061783,2.398674922788527,92.11230092021407,0.8181818181818182,0.1,1.0,0.2,8.0
COA-76,0.49096932307959806,0.20248121137678846,2.4247648448031787,92.10942252797008,0.8181818181818182,0.1,1.0,0.2,9.0
COA-77,0.5590272739287624,0.20488646773949507,2.728473383803674,92.11825594244941,0.6666666666666666,0.1,0.9500000000000001,0.15000000000000002,11.0
COA-78,0.4271006612939462,0.13309348920430222,3.209027457671763,92.45706864912995,0.5384615384615384,0.0625,1.0,0.2,10.0
COA-79,0.4969456507648636,0.1808295288002877,2.7481443659221267,92.11595242393963,0.6666666666666666,0.1,1.0,0.2,10.0
COA-80,0.5318533703595022,0.194747080484565,2.7309953455330755,92.08200992605022,0.6666666666666666,0.1111111111111111,1.0,0.2,10.0
COA-81,0.5893546834578021,0.1889386883993417,3.11929064635052,92.28597991438853,0.5384615384615384,0.07692307692307693,1.05,0.15000000000000002,10.0
COA-82,0.513482191049982,0.18833880996858987,2.7263748302095454,92.34352122016821,0.6666666666666666,0.07142857142857142,0.9500000000000001,0.15000000000000002,10.0
COA-83,0.5113511624082673,0.1611275323772413,3.1735802991822757,92.16940711227053,0.5384615384615384,0.09090909090909091,1.0,0.2,10.0
COA-84,0.4733665619830783,0.14862490899372927,3.1849746128561156,92.28644064929722,0.5384615384615384,0.07692307692307693,1.0,0.2,10.0
COA-85,0.4087463970910284,0.1662054287049905,2.4592842741408925,92.21957622637413,0.8181818181818182,0.08333333333333333,1.0,0.2,10.0
COA-86,0.5583521970257108,0.2325433164755527,2.401067489223714,92.12119538438613,0.8181818181818182,0.1,0.9500000000000001,0.15000000000000002,10.0
COA-87,0.6142447743951823,0.22737475969233983,2.701464204849805,92.11183298488328,0.6666666666666666,0.1,1.0,0.15000000000000002,10.0
COA-88,0.40296864552965095,0.14450221544733222,2.788667594349264,92.29577339991833,0.6666666666666666,0.07692307692307693,1.0,0.2,11.0
COA-89,0.5654270006072268,0.20781515556035027,2.7208169639149578,92.11173509806133,0.6666666666666666,0.1,0.9500000000000001,0.15000000000000002,11.0
COA-90,0.45530252924543335,0.16362126867122714,2.782661037547,92.18015218400842,0.6666666666666666,0.09090909090909091,0.9500000000000001,0.2,10.0
COA-91,0.49594435825442584,0.1550041378185843,3.199555606927574,92.11344570116485,0.5384615384615384,0.1,1.0,0.2,11.0
COA-92,0.5758318296845218,0.21214898214130898,2.7142804262948084,92.16835273588138,0.6666666666666666,0.09090909090909091,0.9500000000000001,0.15000000000000002,10.0
COA-93,0.36032170893395965,0.14434824354978754,2.4961973909275876,92.16306116058288,0.8181818181818182,0.09090909090909091,1.0,0.25,10.0
COA-94,0.39370811904164904,0.1396566172085536,2.81911539110039,92.1643148053792,0.6666666666666666,0.09090909090909091,1.0,0.25,10.0
COA-95,0.3417181619645799,0.13611283540209326,2.5105506101250805,92.2182655660768,0.8181818181818182,0.08333333333333333,1.0,0.25,10.0
COA-96,0.48258011878513324,0.17511115548333067,2.7558502338308846,92.22753976060889,0.6666666666666666,0.08333333333333333,1.05,0.2,9.0
COA-97,0.44112567551420356,0.18050992944922553,2.443775125613159,92.22514078413928,0.8181818181818182,0.08333333333333333,1.0,0.2,9.0
COA-98,0.4691933088981335,0.17006417095908288,2.7589192141537002,92.1719689225012,0.6666666666666666,0.09090909090909091,0.9500000000000001,0.2,10.0
COA-99,0.4527164515759374,0.1627495919500078,2.781674879498312,92.10958039500366,0.6666666666666666,0.1,0.9500000000000001,0.2,11.0
COA-100,0.3942001263402545,0.16001291784765662,2.4635518909514564,92.27770166807213,0.8181818181818182,0.07692307692307693,1.05,0.2,10.0
COA-101,0.4074141671129719,0.1246466379971525,3.2685531969364394,92.16377419938631,0.5384615384615384,0.09090909090909091,1.0,0.30000000000000004,9.0
COA-102,0.4695631099717687,0.1702883179374205,2.757459323453586,92.17275505012483,0.6666666666666666,0.09090909090909091,0.9500000000000001,0.2,10.0
COA-103,0.4289756922705714,0.17501781439307798,2.451040162729501,92.16222876202022,0.8181818181818182,0.09090909090909091,1.0,0.2,10.0
COA-104,0.3735296056292969,0.1317122992464509,2.8359508395671864,92.21994357916812,0.6666666666666666,0.08333333333333333,1.0,0.25,10.0
