id,beta,eta,beta/eta,error,tauOVq,delta,q,epsilon,fE0
COL-0,0.1544237113558403,0.015914470891785226,9.703351899405662,3.502068643733008,0.6666666666666666,0.08333333333333333,0.9500000000000001,0.2,11.0
COL-1,0.18063113146574442,0.02680867164545555,6.737787453798143,3.5058040394564576,0.6666666666666666,0.1,1.0,0.15000000000000002,10.0
COL-2,0.15470323592080715,0.01558491958652832,9.926469948201296,3.4989783403486654,0.6666666666666666,0.07142857142857142,1.05,0.2,10.0
COL-3,0.15965011722737785,0.018418513108207652,8.667915606946286,3.5057995289530375,0.6666666666666666,0.1,1.0,0.2,11.0
COL-4,0.15850768102891152,0.01796396509680789,8.823646682384034,3.505803154427832,0.6666666666666666,0.1,0.9500000000000001,0.25,9.0
COL-5,0.16325171876548666,0.019446653889193366,8.394848784561683,3.5020671466399502,0.6666666666666666,0.08333333333333333,1.0,0.2,9.0
COL-6,0.14241075522459895,0.018643411213668384,7.638664061660066,3.5057912308511763,0.8181818181818182,0.1,0.9500000000000001,0.2,11.0
COL-7,0.16417192930057276,0.020227702094039422,8.116192760667063,3.5058005122640146,0.6666666666666666,0.1,1.0,0.2,10.0
COL-8,0.16967908087202954,0.022430948523761922,7.564507612876125,3.505801707235509,0.6666666666666666,0.1,1.0,0.2,9.0
COL-9,0.14655956739924797,0.012770070814196175,11.476801462707732,3.50206713383375,0.6666666666666666,0.08333333333333333,0.9500000000000001,0.25,11.0
COL-10,0.15087066486914888,0.013370313696767633,11.284003374253135,3.49545704213926,0.6666666666666666,0.058823529411764705,1.0,0.2,10.0
COL-11,0.18051076120825424,0.017739668658689315,10.175542998083888,3.5058100897412077,0.5384615384615384,0.1,1.05,0.25,9.0
COL-12,0.156947001643593,0.024551526106654054,6.392555842019799,3.5004384876202406,0.8181818181818182,0.07692307692307693,0.9500000000000001,0.15000000000000002,9.0
COL-13,0.1498078408028267,0.014069805398787239,10.647470704586969,3.5020645421870764,0.6666666666666666,0.08333333333333333,1.0,0.25,10.0
COL-14,0.1923704338361182,0.02188907376024792,8.788422751147941,3.5058239736195134,0.5384615384615384,0.1,0.9500000000000001,0.2,9.0
COL-15,0.15669839955319806,0.01703537581530002,9.198411661248011,3.503855750478058,0.6666666666666666,0.09090909090909091,0.9500000000000001,0.2,11.0
COL-16,0.14383099739953503,0.01908209432940023,7.537484875437977,3.503839762697684,0.8181818181818182,0.09090909090909091,1.05,0.2,10.0
