id,beta,eta,beta/eta,error,tauOVq,delta,q,epsilon,fE0
GR1-0,0.6533969248825168,0.21957450346801038,2.9757413295378785,27980.692373212085,0.6666666666666666,0.07692307692307693,1.0,0.15000000000000002,10.0
GR1-1,0.5295772179904702,0.19634381405220025,2.6971932909975767,28253.308749461183,0.8181818181818182,0.09090909090909091,1.0,0.2,10.0
GR1-2,0.5787899531897559,0.1896098234769301,3.052531470027857,28248.065797368687,0.6666666666666666,0.09090909090909091,1.05,0.2,10.0
GR1-3,0.5728369082378121,0.21585202005613693,2.653840849341292,28249.273321630673,0.8181818181818182,0.09090909090909091,1.0,0.2,9.0
GR1-4,0.8354507413116508,0.25022776404488817,3.3387611662540366,28476.28149024132,0.5384615384615384,0.1111111111111111,1.05,0.15000000000000002,10.0
GR1-5,0.5395029428806128,0.17412151252458544,3.098427845349877,28001.382282676357,0.6666666666666666,0.07692307692307693,1.05,0.2,10.0
GR1-6,0.5964284357133658,0.2262545858076021,2.6360943517871713,28381.57740582015,0.8181818181818182,0.1,1.0,0.2,9.0
GR1-7,0.5940859877641131,0.1955760235935423,3.037621774122875,28374.920682835385,0.6666666666666666,0.1,0.9500000000000001,0.2,10.0
GR1-8,0.6355428252081958,0.21213316831529744,2.995961594575238,28515.9680034475,0.6666666666666666,0.1111111111111111,1.05,0.2,10.0
GR1-9,0.6500444466919292,0.21797120704858536,2.9822491488384313,28375.53748252747,0.6666666666666666,0.1,1.05,0.2,9.0
GR1-10,0.7258700488276544,0.2482850867874914,2.9235346279534324,28347.194079922643,0.6666666666666666,0.1,0.9500000000000001,0.15000000000000002,10.0
GR1-11,0.7066177543365052,0.2408559127126008,2.933777902225181,28223.68900083784,0.6666666666666666,0.09090909090909091,1.0,0.15000000000000002,10.0
GR1-12,0.5197653250409033,0.16619790134695678,3.127388016505906,28123.004128551296,0.6666666666666666,0.08333333333333333,1.0,0.2,11.0
GR1-13,0.4520482482974889,0.11683014808114241,3.8692773716551865,27781.00944212868,0.5384615384615384,0.06666666666666667,1.0,0.25,11.0
GR1-14,0.5773673956749487,0.18918784754873166,3.051820733497316,28248.743056631436,0.6666666666666666,0.09090909090909091,1.0,0.2,10.0
GR1-15,0.5586966708774413,0.1817410642622237,3.074135573847692,28121.856158501847,0.6666666666666666,0.08333333333333333,1.05,0.2,10.0
GR1-16,0.5377946892950097,0.1732140131555421,3.1047989680377808,28249.12023718306,0.6666666666666666,0.09090909090909091,1.0,0.2,11.0
GR1-17,0.5689173937276887,0.21408171655699204,2.6574777280255675,28247.292283640276,0.8181818181818182,0.09090909090909091,0.9500000000000001,0.2,9.0
GR1-18,0.6002461570894113,0.19810754487793855,3.0299005394228944,28377.65481397193,0.6666666666666666,0.1,1.0,0.2,10.0
GR1-19,0.5539893842307094,0.17981273547672658,3.080924066707239,28119.404552896576,0.6666666666666666,0.08333333333333333,1.0,0.2,10.0
GR1-20,0.483182366916508,0.15126284794966574,3.194322819290642,28396.901361501223,0.6666666666666666,0.1,1.05,0.25,11.0
GR1-21,0.6794899161802888,0.22973754844975167,2.957678972224722,28352.504425013365,0.6666666666666666,0.1,0.9500000000000001,0.15000000000000002,11.0
GR1-22,0.5276787769275787,0.19555734157019586,2.698332738063771,28251.005895166745,0.8181818181818182,0.09090909090909091,0.9500000000000001,0.2,10.0
GR1-23,0.5985919542267897,0.22732284640707937,2.633223909025222,28380.38437500782,0.8181818181818182,0.1,1.0,0.2,9.0
GR1-24,0.5782184099090425,0.1895485171065522,3.05050347391536,28249.218017621002,0.6666666666666666,0.09090909090909091,1.0,0.2,10.0
GR1-25,0.7569234123161035,0.26084066914189796,2.9018611814108457,28215.604165041863,0.6666666666666666,0.09090909090909091,1.0,0.15000000000000002,9.0
GR1-26,0.6001164794872034,0.1682754403929286,3.5662749007574246,28106.15019258119,0.5384615384615384,0.08333333333333333,0.9500000000000001,0.2,10.0
GR1-27,0.7369023831961522,0.2526063658245623,2.9171964086920057,28353.62624254536,0.6666666666666666,0.1,1.05,0.15000000000000002,10.0
GR1-28,0.5406020717301586,0.14732858669710677,3.6693630465727867,28250.393021312266,0.5384615384615384,0.09090909090909091,1.0,0.25,10.0
GR1-29,0.5081395698403233,0.16185153949800574,3.1395411586219995,27777.58386603741,0.6666666666666666,0.06666666666666667,1.0,0.2,10.0
GR1-30,0.6500327151327747,0.25058348577505724,2.594076433737112,28226.670005748754,0.8181818181818182,0.09090909090909091,0.9500000000000001,0.15000000000000002,10.0
GR1-31,0.5569155759214084,0.15278874943449863,3.645003823793722,28527.017263299767,0.5384615384615384,0.1111111111111111,1.05,0.25,11.0
GR1-32,0.7392600859082478,0.2536352612531416,2.9146581680156314,28352.60530027739,0.6666666666666666,0.1,1.05,0.15000000000000002,10.0
GR1-33,0.5333997510242371,0.1981066107711622,2.692488397776792,28254.56319394581,0.8181818181818182,0.09090909090909091,1.05,0.2,10.0
GR1-34,0.468374313889678,0.16944907928138384,2.7641006718714873,27785.911095015137,0.8181818181818182,0.06666666666666667,1.0,0.2,10.0
GR1-35,0.5502249544568688,0.1783166478605003,3.0856622814450714,28116.704710254493,0.6666666666666666,0.08333333333333333,0.9500000000000001,0.2,10.0
GR1-36,0.5170548285559226,0.1906354019159481,2.7122707711125664,28387.73087281217,0.8181818181818182,0.1,1.0,0.2,11.0
GR1-37,0.5502807168713363,0.17834179951590445,3.0855397801582822,28116.705163968752,0.6666666666666666,0.08333333333333333,0.9500000000000001,0.2,10.0
GR1-38,0.5075916535427384,0.18661789924376213,2.719951599496451,28124.71224686296,0.8181818181818182,0.08333333333333333,0.9500000000000001,0.2,10.0
GR1-39,0.6122385478048242,0.17226119558964906,3.5541292147029124,28372.115673447573,0.5384615384615384,0.1,1.0,0.2,11.0
GR1-40,0.6408624692094056,0.2141225101460929,2.9929710275307055,28377.70526938393,0.6666666666666666,0.1,1.0,0.2,9.0
GR1-41,0.7357701049413976,0.2523514063722522,2.9156568434417123,28351.573213451004,0.6666666666666666,0.1,1.0,0.15000000000000002,10.0
GR1-42,0.4714992179221469,0.17015085623325185,2.7710657963177727,28398.684118298166,0.8181818181818182,0.1,1.0,0.25,10.0
GR1-43,0.4985895153611995,0.18264254545081646,2.7298651260610245,28260.368374574744,0.8181818181818182,0.09090909090909091,1.0,0.2,11.0
