id,beta,eta,beta/eta,error,tauOVq,delta,q,epsilon,fE0
GRO-0,0.251124243676587,0.05107430506736101,4.916841126773699,141.0383469847809,0.8181818181818182,0.09090909090909091,1.05,0.15000000000000002,9.0
GRO-1,0.22768340892381317,0.029435158836773504,7.7350834145785905,141.0496649060388,0.6666666666666666,0.1,1.0,0.25,10.0
GRO-2,0.23495224840361062,0.031839429302993216,7.379285795851963,141.02357984724352,0.6666666666666666,0.08333333333333333,0.9500000000000001,0.2,10.0
GRO-3,0.22389698760190102,0.02803916386018421,7.985152079368392,141.04918806724103,0.6666666666666666,0.09090909090909091,1.0,0.25,10.0
GRO-4,0.23715487263702287,0.031916612989146075,7.430452370296073,141.06901000740672,0.6666666666666666,0.09090909090909091,0.9500000000000001,0.2,10.0
GRO-5,0.24386935177169575,0.0353001654810961,6.908447834395914,141.04617914365045,0.6666666666666666,0.1,1.0,0.2,10.0
GRO-6,0.228167448966225,0.04065778645418225,5.61190042215775,141.04351603318938,0.8181818181818182,0.1,1.05,0.2,9.0
GRO-7,0.23182409112344216,0.03054496009333444,7.58960202976435,141.0351653370968,0.6666666666666666,0.09090909090909091,1.0,0.2,11.0
GRO-8,0.21947398680454236,0.036897228862000114,5.948251225732977,141.04541574120296,0.8181818181818182,0.1,1.0,0.2,10.0
GRO-9,0.2535459658871202,0.039366608631156645,6.440635216071207,141.04376073021882,0.6666666666666666,0.1,0.9500000000000001,0.2,9.0
GRO-10,0.20309619499187223,0.029346347152077096,6.920663547643522,141.04192648934944,0.8181818181818182,0.1,1.0,0.25,10.0
GRO-11,0.2444084276661011,0.03570855007300415,6.8445351930118035,141.04404205602978,0.6666666666666666,0.1,1.0,0.2,10.0
GRO-12,0.3107181995645776,0.030936670544045135,10.043685829805185,141.03714242839027,0.42857142857142855,0.09090909090909091,0.9500000000000001,0.2,10.0
GRO-13,0.28697977051541834,0.038395767711822654,7.474255305150542,141.04400372267787,0.5384615384615384,0.1,1.0,0.2,9.0
GRO-14,0.23445080362635756,0.032897990498908854,7.126599529966237,141.0951888141149,0.6666666666666666,0.07692307692307693,1.0,0.2,10.0
GRO-15,0.23924717430339518,0.045580088605939616,5.2489405268996885,141.03730247574052,0.8181818181818182,0.09090909090909091,1.0,0.15000000000000002,10.0
GRO-16,0.21114597512418468,0.02226418827252007,9.483659253133203,141.01066002138654,0.6666666666666666,0.07692307692307693,0.9500000000000001,0.25,11.0
GRO-17,0.2795459848270265,0.04987802795843976,5.604591766538056,141.038475407925,0.6666666666666666,0.09090909090909091,1.05,0.15000000000000002,9.0
GRO-18,0.23993192309316624,0.03410692222024325,7.034698749533051,141.03689457465669,0.6666666666666666,0.09090909090909091,1.0,0.2,10.0
GRO-19,0.2440281427743461,0.03556337550166435,6.8617823626704295,141.04408679227998,0.6666666666666666,0.1,0.9500000000000001,0.2,10.0
GRO-20,0.2764465516985378,0.03470825657468557,7.964864242134357,141.04435848764416,0.5384615384615384,0.1,1.0,0.2,10.0
GRO-21,0.23919322233303147,0.03363572421115262,7.1112850382368755,141.0345763823416,0.6666666666666666,0.09090909090909091,0.9500000000000001,0.2,10.0
GRO-22,0.2836754503904394,0.037278878652712004,7.609548909266945,141.0524546637982,0.5384615384615384,0.1111111111111111,1.05,0.2,10.0
GRO-23,0.25385934436175095,0.03945019007879497,6.434933364191924,141.0438084846476,0.6666666666666666,0.1,1.0,0.2,9.0
GRO-24,0.24552556205538958,0.03687329155030712,6.658628826786813,141.0806668231515,0.6666666666666666,0.1,0.9500000000000001,0.2,10.0
GRO-25,0.22753677566215294,0.028969314317947765,7.8544066719999615,141.04206857360666,0.6666666666666666,0.1,1.1,0.25,10.0
GRO-26,0.21949652594562544,0.037054228610040416,5.923656602208943,141.04886910118452,0.8181818181818182,0.1,0.9500000000000001,0.2,10.0
GRO-27,0.23695789382778018,0.0333940688662858,7.09580778480725,141.05092334148213,0.6666666666666666,0.08333333333333333,1.0,0.2,10.0
GRO-28,0.2203130120185531,0.025859749007288012,8.519534043291086,141.04527286136823,0.6666666666666666,0.1,1.0,0.25,11.0
GRO-29,0.27028820434418427,0.0324473439170998,8.330056384114139,141.0349661392701,0.5384615384615384,0.09090909090909091,0.9500000000000001,0.2,10.0
GRO-30,0.21493350136692668,0.03484724089405288,6.167877164806117,141.0363886344725,0.8181818181818182,0.09090909090909091,1.0,0.2,10.0
GRO-31,0.21498353131880774,0.023679583381107996,9.078856154636805,141.04498779059338,0.6666666666666666,0.1,1.0,0.30000000000000004,10.0
GRO-32,0.30701047709837087,0.0454189640905889,6.759521782267717,141.0479400336122,0.5384615384615384,0.1,0.9500000000000001,0.15000000000000002,10.0
GRO-33,0.24458872586281155,0.03571303758803945,6.848723670168177,141.04425997484094,0.6666666666666666,0.1,1.05,0.2,10.0
GRO-34,0.19397075094319313,0.03489170157302782,5.5592230300725,141.03401512986005,1.0,0.09090909090909091,0.9500000000000001,0.2,10.0
GRO-35,0.21435864641339944,0.03432231593381185,6.245459858442386,141.03425985466492,0.8181818181818182,0.09090909090909091,1.0,0.2,10.0
GRO-36,0.21620847583285233,0.02394669520089652,9.028739624361942,141.07126302779636,0.6666666666666666,0.09090909090909091,1.0,0.25,11.0
