id,beta,eta,beta/eta,error,tauOVq,delta,q,epsilon,fE0
GUA-0,0.36178372400407005,0.08959054712769367,4.038190809220293,80.9600428114019,0.6666666666666666,0.1,1.05,0.25,8.0
GUA-1,0.3538719906653426,0.08642965527610096,4.094335324315395,80.9549691593966,0.6666666666666666,0.1111111111111111,0.9500000000000001,0.2,11.0
GUA-2,0.30577918935429466,0.08246247454812894,3.7081010608750007,80.96808916537981,0.8181818181818182,0.08333333333333333,1.0,0.2,10.0
GUA-3,0.3370240627906594,0.07968938936819944,4.229221298628133,80.9697517953478,0.6666666666666666,0.08333333333333333,0.9500000000000001,0.2,10.0
GUA-4,0.37982907581341663,0.07780003468870882,4.88211962029551,80.96257048240132,0.5384615384615384,0.1,0.9500000000000001,0.2,11.0
GUA-5,0.3059137057911529,0.08254076517784063,3.706213591938935,80.96807454594133,0.8181818181818182,0.08333333333333333,1.0,0.2,10.0
GUA-6,0.34835904121843025,0.08421798725512711,4.136397135247643,80.96522463436006,0.6666666666666666,0.09090909090909091,1.0,0.2,10.0
GUA-7,0.3276141129699939,0.09230729588292978,3.5491681327713875,80.95884034612354,0.8181818181818182,0.1,1.05,0.25,8.0
GUA-8,0.41217583469000185,0.10974346890919263,3.7558119748434162,80.96590845196104,0.6666666666666666,0.09090909090909091,1.0,0.15000000000000002,10.0
GUA-9,0.3286621506911604,0.05987109242828936,5.489496472522456,80.96676158366756,0.5384615384615384,0.09090909090909091,0.9500000000000001,0.25,11.0
GUA-10,0.42763299804845856,0.11592572474699975,3.688853349692136,80.96112989722192,0.6666666666666666,0.1,1.0,0.15000000000000002,10.0
GUA-11,0.3304731361607623,0.07706633164491412,4.288164871833125,80.96501478085246,0.6666666666666666,0.09090909090909091,1.0,0.2,11.0
GUA-12,0.27341605340648645,0.06791746598472381,4.025710462577976,80.95864107831542,0.8181818181818182,0.1,1.0,0.25,11.0
GUA-13,0.3618117618539765,0.08960343063844266,4.037923093747573,80.96000990113556,0.6666666666666666,0.1,1.05,0.2,10.0
GUA-14,0.5002064474131731,0.1198870663749069,4.1723136826865375,80.9645982667193,0.5384615384615384,0.1,0.9500000000000001,0.15000000000000002,9.0
GUA-15,0.4122227250407998,0.1097661537148571,3.755462964582356,80.96590910415543,0.6666666666666666,0.09090909090909091,1.0,0.15000000000000002,10.0
GUA-16,0.3095539041443883,0.068701229852582,4.505798583353227,80.9644393194666,0.6666666666666666,0.09090909090909091,1.05,0.25,10.0
GUA-17,0.3592032598441849,0.08856790585639453,4.0556819806330635,80.96088446275942,0.6666666666666666,0.1,0.9500000000000001,0.2,10.0
GUA-18,0.3295682324039688,0.07671110988976439,4.296225577723564,80.97280606221926,0.6666666666666666,0.07692307692307693,1.0,0.2,10.0
GUA-19,0.30588224992236235,0.08252238299040375,3.706657985845275,80.96807550260968,0.8181818181818182,0.08333333333333333,1.0,0.2,10.0
GUA-20,0.3186853908668826,0.07235402718689102,4.40452872158333,80.95995508039283,0.6666666666666666,0.1,1.0,0.25,10.0
GUA-21,0.29398064831748416,0.06247085215600423,4.705885035525787,80.96461400614632,0.6666666666666666,0.09090909090909091,1.0,0.25,11.0
GUA-22,0.4255261261202909,0.11508303075812476,3.6975575227475415,80.96167525735196,0.6666666666666666,0.1,0.9500000000000001,0.15000000000000002,10.0
GUA-23,0.42088590881862536,0.11322977506577403,3.717095689487478,80.95520237561152,0.6666666666666666,0.1111111111111111,1.0,0.15000000000000002,11.0
GUA-24,0.3186871012395241,0.07235492156069163,4.40449791618125,80.95995513960658,0.6666666666666666,0.1,1.0,0.25,10.0
GUA-25,0.34277475617069203,0.08198817281116792,4.180782964393632,80.95980923085675,0.6666666666666666,0.1,1.05,0.2,11.0
GUA-26,0.31538698819534594,0.08680237160905681,3.6333913734038923,80.96394423664864,0.8181818181818182,0.09090909090909091,1.0,0.2,10.0
GUA-27,0.3669712422687633,0.11000966109686096,3.3358092244794175,80.9593937112954,0.8181818181818182,0.1,1.0,0.15000000000000002,11.0
GUA-28,0.3591183055676778,0.08852478176769595,4.056698004747023,80.9608811483352,0.6666666666666666,0.1,0.9500000000000001,0.2,10.0
GUA-29,0.3059110912374692,0.08253902946437265,3.7062598533402116,80.96807455950483,0.8181818181818182,0.08333333333333333,1.0,0.2,10.0
GUA-30,0.2987331866427901,0.07930804714961429,3.766744956904956,80.96379405174547,0.8181818181818182,0.09090909090909091,1.0,0.2,11.0
GUA-31,0.3257004348450963,0.09144385581855682,3.5617530771159966,80.9594206925439,0.8181818181818182,0.1,0.9500000000000001,0.2,10.0
GUA-32,0.3196162821046386,0.07272618811453604,4.39478942030176,80.9595949377095,0.6666666666666666,0.1,1.05,0.25,10.0
GUA-33,0.3438212086265095,0.11661746157164404,2.9482823926439408,80.96417704788365,1.0,0.09090909090909091,1.1,0.15000000000000002,10.0
GUA-34,0.3077633174228781,0.06798526951943695,4.526911779542019,80.96519314454173,0.6666666666666666,0.09090909090909091,0.9500000000000001,0.25,10.0
GUA-35,0.5500687387287808,0.16471602275178396,3.3394974547054095,80.9637045717192,0.6666666666666666,0.1,1.0,0.1,10.0
GUA-36,0.31869019425937845,0.07235670558493877,4.404432065874964,80.95995504922584,0.6666666666666666,0.1,1.0,0.25,10.0
GUA-37,0.3483923182523464,0.0842353792476116,4.135938145755125,80.96522408304006,0.6666666666666666,0.09090909090909091,1.0,0.2,10.0
GUA-38,0.37800755507589145,0.07718304731588391,4.897546394207984,80.97102389345119,0.5384615384615384,0.08333333333333333,1.0,0.2,10.0
GUA-39,0.38328696428396375,0.09819598145318802,3.9032856397151474,80.9606774267709,0.6666666666666666,0.1,1.0,0.2,9.0
GUA-40,0.3140606150969648,0.07050874820471419,4.454207784048658,80.97226701649933,0.6666666666666666,0.07692307692307693,1.05,0.2,11.0
GUA-41,0.35887197940552035,0.08843245075159151,4.05814807070765,80.96955485069068,0.6666666666666666,0.08333333333333333,1.0,0.2,9.0
GUA-42,0.35074388603051115,0.0851810132271574,4.117629888895088,80.95449014828313,0.6666666666666666,0.1111111111111111,1.0,0.25,9.0
GUA-43,0.2994534353368883,0.0796319609871467,3.7604679280122553,80.9635336086923,0.8181818181818182,0.09090909090909091,1.05,0.2,11.0
GUA-44,0.40322424382708866,0.1061316489843542,3.7992836979903277,80.96089849010242,0.6666666666666666,0.1,1.0,0.15000000000000002,11.0
GUA-45,0.42761705678976897,0.11591817943692952,3.6889559417419355,80.96112999221005,0.6666666666666666,0.1,1.0,0.15000000000000002,10.0
GUA-46,0.35911834865112824,0.08852483547353382,4.056696030330308,80.96088114925234,0.6666666666666666,0.1,0.9500000000000001,0.2,10.0
