id,beta,eta,beta/eta,error,tauOVq,delta,q,epsilon,fE0
HID-0,0.3126670726650303,0.07371902109494033,4.241335112987414,84.96813591266577,0.6666666666666666,0.1,1.0,0.2,10.0
HID-1,0.3016894257839161,0.06913198883353143,4.3639627743153575,84.96733467744855,0.6666666666666666,0.09090909090909091,1.05,0.2,10.0
HID-2,0.27651248355559116,0.04557081361763392,6.067753932938184,84.9462589946363,0.5384615384615384,0.07692307692307693,1.0,0.25,11.0
HID-3,0.30253076025747067,0.0697096052389195,4.339871947640367,84.96100519438994,0.6666666666666666,0.09090909090909091,1.0,0.2,10.0
HID-4,0.42957144513400186,0.12059280412487007,3.5621648260968715,84.92892248548051,0.6666666666666666,0.07692307692307693,1.0,0.1,10.0
HID-5,0.2683227648267405,0.06938747268864494,3.8670202909789904,84.97068577035586,0.8181818181818182,0.1,1.05,0.2,11.0
HID-6,0.27978974663161615,0.06066847297501685,4.611781587890517,84.95393900849065,0.6666666666666666,0.08333333333333333,1.0,0.2,11.0
HID-7,0.32938976890230265,0.08097348022439839,4.067872197038817,84.96732728379685,0.6666666666666666,0.08333333333333333,0.9500000000000001,0.15000000000000002,11.0
HID-8,0.35413780642635234,0.09000263242429767,3.9347494277372617,84.96720977332726,0.6666666666666666,0.09090909090909091,1.05,0.15000000000000002,10.0
HID-9,0.33596915341397493,0.08311632247674641,4.042156142170144,84.9552542223852,0.6666666666666666,0.09090909090909091,0.9500000000000001,0.15000000000000002,11.0
HID-10,0.3343874821223271,0.09920508199744028,3.3706688749166607,84.95007167804008,0.8181818181818182,0.08333333333333333,1.05,0.15000000000000002,9.0
HID-11,0.3019871179912014,0.05440838810140438,5.550377956949741,84.96093819633862,0.5384615384615384,0.09090909090909091,0.9500000000000001,0.25,10.0
HID-12,0.33248305625230223,0.06496247048741866,5.1180790040411805,84.96651191232019,0.5384615384615384,0.1,1.0,0.2,11.0
HID-13,0.2849559793283969,0.062454336321221084,4.562629212210089,84.97681231135267,0.6666666666666666,0.09090909090909091,0.9500000000000001,0.2,11.0
HID-14,0.2824387301414982,0.07575109970297086,3.7285099655183127,84.96992361172211,0.8181818181818182,0.1,1.0,0.2,10.0
HID-15,0.3113004601938901,0.07325948773722922,4.24928524357798,84.95298095262741,0.6666666666666666,0.08333333333333333,1.0,0.2,9.0
HID-16,0.33643946503433586,0.06626912427311263,5.076866017540532,84.9602209700514,0.5384615384615384,0.09090909090909091,0.9500000000000001,0.2,10.0
HID-17,0.3205945269528961,0.07692930202551174,4.167391598673008,84.960448483308,0.6666666666666666,0.09090909090909091,1.0,0.2,9.0
HID-18,0.3315981406029626,0.08127126414672678,4.080140060382189,84.96757647754035,0.6666666666666666,0.1,1.0,0.2,9.0
HID-19,0.2777371953992051,0.05964288365984449,4.656669469289863,84.97320615341826,0.6666666666666666,0.1,1.05,0.25,10.0
HID-20,0.34979635233964457,0.07104928098907273,4.923291938639642,84.9657583474062,0.5384615384615384,0.1,1.0,0.2,10.0
HID-21,0.28589505486390854,0.07781785339521928,3.6739005561090488,84.99240987194561,0.8181818181818182,0.1,1.0,0.2,10.0
HID-22,0.31419379015178095,0.07441259574617892,4.222319984959197,84.9692618585795,0.6666666666666666,0.1,1.05,0.2,10.0
HID-23,0.3708932560505182,0.07868872152073435,4.713423332882444,84.96817076338425,0.5384615384615384,0.1,0.9500000000000001,0.2,9.0
HID-24,0.26936975235034133,0.05635565494836464,4.779817617187644,84.96674228070019,0.6666666666666666,0.09090909090909091,1.05,0.25,10.0
HID-25,0.33056040736848785,0.08087677765467209,4.087210407663813,84.96689323685715,0.6666666666666666,0.1,0.9500000000000001,0.2,9.0
HID-26,0.31057191175941723,0.07274064788885339,4.269578575021306,84.9697209775204,0.6666666666666666,0.1,0.9500000000000001,0.2,10.0
HID-27,0.2831266187824317,0.047912669584600984,5.909222367217625,84.9379347112367,0.5384615384615384,0.07142857142857142,1.0,0.25,10.0
HID-28,0.3139020111889171,0.07425549426596342,4.2273237056991855,84.96882877337276,0.6666666666666666,0.1,1.05,0.2,10.0
HID-29,0.26802431838560253,0.06952672033557837,3.8549829057368683,84.94063424025408,0.8181818181818182,0.07142857142857142,1.0,0.2,9.0
HID-30,0.2866863460941159,0.06310041689893832,4.543335213668604,84.98152861120856,0.6666666666666666,0.1111111111111111,1.0,0.25,10.0
HID-31,0.3686966260487021,0.09607797845522961,3.837472769272589,84.96184287783046,0.6666666666666666,0.1,1.0,0.15000000000000002,10.0
HID-32,0.3297873523156815,0.06416687353547755,5.139526583500187,84.95069610566799,0.5384615384615384,0.08333333333333333,1.0,0.2,10.0
HID-33,0.32295083452093215,0.061765426024818264,5.22866683362899,84.95896662033479,0.5384615384615384,0.09090909090909091,1.0,0.2,11.0
HID-34,0.2693486177405008,0.05644034200330221,4.772271183699449,84.96420716751184,0.6666666666666666,0.09090909090909091,1.0,0.25,10.0
HID-35,0.3109146785794432,0.07291974710648835,4.263792606485579,84.96848370477372,0.6666666666666666,0.1,0.9500000000000001,0.2,10.0
HID-36,0.33879682027241614,0.06724342004059494,5.038363903380941,84.95844479031629,0.5384615384615384,0.09090909090909091,1.0,0.2,10.0
HID-37,0.3280716403241934,0.07942289448053025,4.130693579854571,84.98546464811079,0.6666666666666666,0.1,1.0,0.2,9.0
