id,beta,eta,beta/eta,error,tauOVq,delta,q,epsilon,fE0
JAL-0,0.2165501922401093,0.04013575026011388,5.3954439829000185,65.44542662672893,0.6666666666666666,0.1,1.0,0.25,10.0
JAL-1,0.2800981357046158,0.06561074470171496,4.269089414821022,65.44794368311106,0.6666666666666666,0.1,1.0,0.15000000000000002,10.0
JAL-2,0.24697704043185648,0.05436901897098588,4.542606158916647,65.67060332638684,0.6666666666666666,0.08333333333333333,1.05,0.2,9.0
JAL-3,0.25858989639804913,0.044061301685448896,5.868866477075679,65.45211250147051,0.5384615384615384,0.1,0.9500000000000001,0.2,11.0
JAL-4,0.233081508233719,0.04672131558453209,4.988761667295274,65.42426351271597,0.6666666666666666,0.09090909090909091,1.0,0.2,10.0
JAL-5,0.2545306561283948,0.05536705243316175,4.59715019931141,65.44576182139613,0.6666666666666666,0.1,1.05,0.2,9.0
JAL-6,0.25455155890872005,0.0553800024659208,4.596452646699745,65.44576243581871,0.6666666666666666,0.1,1.05,0.2,9.0
JAL-7,0.20026051752866703,0.04360991380517428,4.592086983325022,65.42004166384679,0.8181818181818182,0.09090909090909091,1.05,0.2,11.0
JAL-8,0.2078540194705845,0.0367004610369737,5.66352611377778,65.44483113652296,0.6666666666666666,0.1,1.0,0.25,11.0
JAL-9,0.24530764960569784,0.03941509411113963,6.223698183086873,65.44830158090112,0.5384615384615384,0.1,1.05,0.25,10.0
JAL-10,0.18822271868155527,0.03807057650701096,4.944046976722108,65.38817071698865,0.8181818181818182,0.07692307692307693,1.0,0.25,9.0
JAL-11,0.18843023831662867,0.0382843771310399,4.921857228385067,65.4210971249376,0.8181818181818182,0.09090909090909091,0.9500000000000001,0.25,10.0
JAL-12,0.21670643431337744,0.040241594125098756,5.3851354307611095,65.44523985198663,0.6666666666666666,0.1,1.0,0.25,10.0
JAL-13,0.28651991180856645,0.0538365435959593,5.322033932172257,65.45038841501987,0.5384615384615384,0.1,1.05,0.2,9.0
JAL-14,0.24142738655151974,0.05026311721742494,4.803271263641862,65.4478040798807,0.6666666666666666,0.1,1.0,0.2,10.0
JAL-15,0.2799770112050542,0.06554297828209166,4.271655309895377,65.4479229533415,0.6666666666666666,0.1,1.0,0.15000000000000002,10.0
JAL-16,0.2719542123361276,0.04873915614360041,5.579789102931278,65.4496287026404,0.5384615384615384,0.1,1.05,0.2,10.0
JAL-17,0.2285086153572595,0.056385151763646925,4.052638118544276,65.44322589404233,0.8181818181818182,0.1,1.0,0.2,9.0
JAL-18,0.2699532246941679,0.06146675508305099,4.391857424870075,65.4257608557086,0.6666666666666666,0.09090909090909091,1.0,0.15000000000000002,10.0
JAL-19,0.297062789395858,0.07237658754839292,4.104404469155635,65.44868852329662,0.6666666666666666,0.1,1.0,0.15000000000000002,9.0
JAL-20,0.23220566873900825,0.034699993893499224,6.691807193156602,65.40924989751399,0.5384615384615384,0.08333333333333333,1.0,0.25,10.0
JAL-21,0.20530484356187775,0.03555021541013164,5.77506609153673,65.40532463598385,0.6666666666666666,0.08333333333333333,1.0,0.25,10.0
JAL-22,0.2454802075714325,0.05168045900363332,4.7499618289801635,65.4248101866512,0.6666666666666666,0.09090909090909091,1.0,0.2,9.0
JAL-23,0.2205523233053427,0.04170430719204236,5.288478292895045,65.42378252801339,0.6666666666666666,0.09090909090909091,1.0,0.25,9.0
JAL-24,0.2212422639593506,0.04186579340556131,5.284559206035769,65.39131369690837,0.6666666666666666,0.07692307692307693,1.0,0.2,10.0
JAL-25,0.2379220523196409,0.03676269721109825,6.471833417266644,65.42749276196656,0.5384615384615384,0.09090909090909091,1.0,0.25,10.0
JAL-26,0.1912172852618991,0.03948436712055051,4.8428605852561795,65.36758993769296,0.8181818181818182,0.06666666666666667,1.05,0.2,10.0
JAL-27,0.23353121188503081,0.04690126619923534,4.979209109046148,65.42327749705332,0.6666666666666666,0.09090909090909091,1.05,0.2,10.0
JAL-28,0.2807160281411014,0.06583743339251287,4.263775388501473,65.44670894976187,0.6666666666666666,0.1,1.05,0.15000000000000002,10.0
JAL-29,0.24495233135667022,0.03935394089182535,6.224340582052153,65.4498950296764,0.5384615384615384,0.1,1.0,0.25,10.0
JAL-30,0.24270569152223595,0.06270350055933961,3.8706880693614676,65.42295733921688,0.8181818181818182,0.09090909090909091,0.9500000000000001,0.15000000000000002,10.0
JAL-31,0.24466828886295397,0.038948869530488296,6.2817815205505045,65.38293642469813,0.5384615384615384,0.07142857142857142,1.0,0.2,10.0
JAL-32,0.21601697507388967,0.05076397054849396,4.255320707578071,65.44365319923273,0.8181818181818182,0.1,0.9500000000000001,0.2,10.0
JAL-33,0.21670545723348966,0.04023979819078201,5.385351492223234,65.44523942184874,0.6666666666666666,0.1,1.0,0.25,10.0
JAL-34,0.2402245180793378,0.049645501316924606,4.838797307047096,65.44749710858714,0.6666666666666666,0.1,0.9500000000000001,0.2,10.0
JAL-35,0.23031829625514633,0.04568456746162454,5.041490136655356,65.44476337488412,0.6666666666666666,0.1,1.05,0.2,11.0
JAL-36,0.24564135383834004,0.039401115564537015,6.234375608883258,65.40861410434147,0.5384615384615384,0.08333333333333333,1.05,0.2,11.0
JAL-37,0.27044847194305727,0.048211378835746894,5.60963985005403,65.45287524836732,0.5384615384615384,0.1,0.9500000000000001,0.2,10.0
JAL-38,0.22990490927968,0.0455248763077828,5.050094100758185,65.44577531780999,0.6666666666666666,0.1,1.0,0.2,11.0
JAL-39,0.18597940734065305,0.03717773987031433,5.002439846784603,65.44391514302986,0.8181818181818182,0.1,1.0,0.25,11.0
JAL-40,0.23070953460409582,0.04584024713014007,5.0329033774428265,65.44388904024287,0.6666666666666666,0.1,1.1,0.2,11.0
JAL-41,0.2104922055354945,0.03768947716723564,5.5849064873332965,65.4233309166013,0.6666666666666666,0.09090909090909091,1.0,0.25,10.0
JAL-42,0.23840206834648464,0.04878732504514625,4.886557484467019,65.40667513619637,0.6666666666666666,0.08333333333333333,1.0,0.2,9.0
JAL-43,0.25035231876358954,0.040992139426282555,6.107325020539753,65.39411634217414,0.5384615384615384,0.07692307692307693,1.05,0.2,10.0
JAL-44,0.21479291567079134,0.03954879578057849,5.43108611605998,65.47140214626074,0.6666666666666666,0.1111111111111111,1.0,0.25,11.0
JAL-45,0.26645203254121114,0.06012636066828491,4.431534348323823,65.44613329760436,0.6666666666666666,0.1,1.05,0.15000000000000002,11.0
JAL-46,0.2120432609757023,0.03818629021913546,5.552863599969335,65.39093107085334,0.6666666666666666,0.07692307692307693,1.0,0.2,11.0
JAL-47,0.23670199988129917,0.04769157299753812,4.963182906412374,65.41693930906715,0.6666666666666666,0.08333333333333333,1.0,0.2,9.0
JAL-48,0.23308160731738548,0.04672137639608796,4.988757294763723,65.42426351220941,0.6666666666666666,0.09090909090909091,1.0,0.2,10.0
JAL-49,0.2402237354471146,0.04964502764485785,4.838827710311419,65.44749711192401,0.6666666666666666,0.1,0.9500000000000001,0.2,10.0
JAL-50,0.2233521361547681,0.05382145363267013,4.149871864835536,65.37716240080361,0.8181818181818182,0.07142857142857142,1.0,0.15000000000000002,10.0
JAL-51,0.22705496480024207,0.04424049510510123,5.132288060086856,65.40525326290435,0.6666666666666666,0.08333333333333333,1.05,0.2,10.0
JAL-52,0.214839945410684,0.039363753236682904,5.4578115079350615,65.40573636299762,0.6666666666666666,0.08333333333333333,1.0,0.25,9.0
JAL-53,0.2294058834015814,0.0453183296703704,5.062099266901476,65.44694757837843,0.6666666666666666,0.1,0.9500000000000001,0.2,11.0
