id,beta,eta,beta/eta,error,tauOVq,delta,q,epsilon,fE0
MIC-0,0.24620378027784223,0.049550434742270465,4.968751163505147,242.7319772306834,0.6666666666666666,0.08333333333333333,1.05,0.25,10.0
MIC-1,0.32794276241480014,0.06575162818698264,4.987599112864638,242.72491752016188,0.5384615384615384,0.1,1.0,0.2,10.0
MIC-2,0.27494748251374357,0.061048479148936435,4.5037564628427535,242.72715055527217,0.6666666666666666,0.08333333333333333,1.0,0.2,10.0
MIC-3,0.27060189687396424,0.0597404060262633,4.529629355967236,242.7407999143598,0.6666666666666666,0.07692307692307693,1.05,0.2,10.0
MIC-4,0.27784177384357317,0.06210249653739664,4.47392277822943,242.7313456335842,0.6666666666666666,0.1,1.0,0.2,11.0
MIC-5,0.2949579668913286,0.08369093054269301,3.5243719358678,242.7285918837936,0.8181818181818182,0.1,1.0,0.15000000000000002,11.0
MIC-6,0.2502136638104015,0.06344558528869747,3.943752156621304,242.73794232997747,0.8181818181818182,0.1,1.05,0.2,11.0
MIC-7,0.38464020322941567,0.08559201585229828,4.493879474613256,242.71652072963042,0.5384615384615384,0.1,1.0,0.15000000000000002,10.0
MIC-8,0.2503534441559897,0.06362187756760367,3.9350213122831503,242.7352411917165,0.8181818181818182,0.1,1.0,0.2,11.0
MIC-9,0.34610569628137394,0.08940540617003837,3.8711942723365342,242.72432229872217,0.6666666666666666,0.1,1.05,0.15000000000000002,10.0
MIC-10,0.2592558376278125,0.05463168926298624,4.74552116409591,242.7337161641263,0.6666666666666666,0.1,0.9500000000000001,0.25,10.0
MIC-11,0.2827020216114259,0.06405473368208882,4.4134446489858075,242.7293171975422,0.6666666666666666,0.09090909090909091,1.0,0.2,10.0
MIC-12,0.30246334067003866,0.05688797195494896,5.316824106677016,242.7243188626993,0.5384615384615384,0.09090909090909091,1.0,0.2,11.0
MIC-13,0.34589160776123096,0.08945312976567077,3.8667356711533754,242.72458478125014,0.6666666666666666,0.1,1.0,0.15000000000000002,10.0
MIC-14,0.28375177655506456,0.07870015857839216,3.6054790953492586,242.72665824184088,0.8181818181818182,0.09090909090909091,0.9500000000000001,0.15000000000000002,11.0
MIC-15,0.2920792936152646,0.06773152799070709,4.3123092344135285,242.7310236718826,0.6666666666666666,0.1,1.0,0.2,10.0
MIC-16,0.3279908267301697,0.0657764949304678,4.986444277349958,242.72492289540065,0.5384615384615384,0.1,1.0,0.2,10.0
MIC-17,0.25389747081612385,0.06493921305675056,3.909771290179358,242.7451389034116,0.8181818181818182,0.09090909090909091,1.05,0.2,10.0
MIC-18,0.2760141062557123,0.06101732804935888,4.523536429396509,242.74399146886267,0.6666666666666666,0.1,1.0,0.2,11.0
MIC-19,0.23832287398175414,0.05800479705226468,4.108675249169746,242.7429851058887,0.8181818181818182,0.09090909090909091,1.0,0.25,9.0
MIC-20,0.3109149375557562,0.05979269867319752,5.199881330914504,242.723996092462,0.5384615384615384,0.1,0.9500000000000001,0.2,11.0
MIC-21,0.3542099208229665,0.09270014029241878,3.821028961829247,242.72061964931538,0.6666666666666666,0.09090909090909091,1.0,0.15000000000000002,9.0
MIC-22,0.26811396805916843,0.05835908257709778,4.594211495784995,242.72476773007008,0.6666666666666666,0.07692307692307693,1.0,0.2,10.0
MIC-23,0.3088556788038788,0.05917558075822174,5.219309634928543,242.72126222870222,0.5384615384615384,0.08333333333333333,1.0,0.2,10.0
MIC-24,0.24757098603251249,0.04999906071599189,4.951512738184868,242.73409563357092,0.6666666666666666,0.1,0.9500000000000001,0.25,11.0
MIC-25,0.290762966304449,0.08190803280365254,3.54987119519104,242.72422796690958,0.8181818181818182,0.08333333333333333,0.9500000000000001,0.15000000000000002,10.0
MIC-26,0.2554769235260316,0.05330805487600175,4.7924638053346476,242.72546302756635,0.6666666666666666,0.07692307692307693,1.0,0.2,11.0
MIC-27,0.2738732824234785,0.0741569857392196,3.6931555361025747,242.73429380310668,0.8181818181818182,0.1111111111111111,0.9500000000000001,0.2,10.0
MIC-28,0.27494338244202304,0.06104566843148509,4.503896664684852,242.7271492345513,0.6666666666666666,0.08333333333333333,1.0,0.2,10.0
MIC-29,0.33107539426109606,0.08339859647448239,3.9697957550448195,242.72061492205043,0.6666666666666666,0.09090909090909091,0.9500000000000001,0.15000000000000002,10.0
MIC-30,0.2593510407504775,0.05480981423197949,4.731835792268674,242.731375700486,0.6666666666666666,0.08333333333333333,1.05,0.25,9.0
