id,beta,eta,beta/eta,error,tauOVq,delta,q,epsilon,fE0
MOR-0,0.5928316461327924,0.21256935230266077,2.788885790500533,305.25736344515224,0.6666666666666666,0.08333333333333333,1.0,0.2,9.0
MOR-1,0.5247399888712131,0.21109171350264616,2.485838880949892,306.13289437140986,0.8181818181818182,0.09090909090909091,1.0,0.2,10.0
MOR-2,0.48441004629435475,0.1446994451137945,3.347698022707724,304.55714901110775,0.5384615384615384,0.07692307692307693,1.05,0.25,10.0
MOR-3,0.4984176789764315,0.17403406264983462,2.8639087738776356,306.9882079977548,0.6666666666666666,0.1,0.9500000000000001,0.25,10.0
MOR-4,0.5308815415103217,0.2140167323350845,2.480560915578901,306.14210775389193,0.8181818181818182,0.09090909090909091,1.05,0.2,10.0
MOR-5,0.7015306219062957,0.25566756167913923,2.7439172075599916,306.06533539957144,0.6666666666666666,0.09090909090909091,1.0,0.15000000000000002,10.0
MOR-6,0.6709435798242864,0.24370640537113544,2.7530814333850615,305.19011592508843,0.6666666666666666,0.08333333333333333,0.9500000000000001,0.15000000000000002,10.0
MOR-7,0.6181616637179373,0.1914067261145695,3.2295712709067863,306.05205211625474,0.5384615384615384,0.09090909090909091,1.0,0.2,10.0
MOR-8,0.5669589814942266,0.20180497780999554,2.8094400229712506,306.1030147397232,0.6666666666666666,0.09090909090909091,1.0,0.2,10.0
MOR-9,0.47975656334944794,0.19040644807647908,2.519644519374406,306.1837409186746,0.8181818181818182,0.09090909090909091,1.0,0.2,11.0
MOR-10,0.5851066129335437,0.23780182699538824,2.4604798891847492,307.8721310410364,0.8181818181818182,0.1111111111111111,1.0,0.2,10.0
MOR-11,0.5975008781131299,0.2138402111619328,2.794146502505396,306.9609806735728,0.6666666666666666,0.1,1.0,0.2,10.0
MOR-12,0.6792058450288466,0.24633019714626753,2.757298345462466,306.88192506523455,0.6666666666666666,0.1,0.9500000000000001,0.15000000000000002,11.0
MOR-13,0.6552951160109729,0.2698033190058252,2.428788194398842,306.0695180844531,0.8181818181818182,0.09090909090909091,1.0,0.15000000000000002,10.0
MOR-14,0.5550650567414495,0.16963234243376196,3.272165253263488,305.24012438587266,0.5384615384615384,0.08333333333333333,1.0,0.2,11.0
MOR-15,0.5800518718460305,0.20791195089897357,2.7898919198150534,307.23718131523657,0.6666666666666666,0.1,1.05,0.2,11.0
MOR-16,0.5203561475307222,0.183652643686532,2.8333713965963567,304.48403593279085,0.6666666666666666,0.07692307692307693,0.9500000000000001,0.2,10.0
MOR-17,0.46630447393153657,0.16228850158341662,2.873305683285609,305.32895894646924,0.6666666666666666,0.08333333333333333,1.0,0.25,10.0
MOR-18,0.437447878917918,0.14965216718405805,2.9230975210662895,307.02662109206705,0.6666666666666666,0.1,1.0,0.30000000000000004,10.0
MOR-19,0.6446372376860761,0.20029843005755818,3.21838387600358,306.91184640520294,0.5384615384615384,0.1,1.0,0.2,10.0
MOR-20,0.550937214788429,0.19493140829996985,2.826313212392229,306.97011279328007,0.6666666666666666,0.1,1.0,0.2,11.0
MOR-21,0.6791429780128404,0.2463019186146782,2.757359673983341,306.88192689348995,0.6666666666666666,0.1,0.9500000000000001,0.15000000000000002,11.0
MOR-22,0.7987464849692909,0.29429194870423153,2.714129586236302,306.86007150258047,0.6666666666666666,0.1,1.0,0.15000000000000002,9.0
MOR-23,0.6095072520411728,0.2185558243595787,2.788794367879127,306.0956244733052,0.6666666666666666,0.09090909090909091,1.0,0.2,9.0
MOR-24,0.5489120821207464,0.1667973675128009,3.2908917587000888,306.959653443405,0.5384615384615384,0.1,1.0,0.25,10.0
MOR-25,0.43831695379391244,0.17221447850767246,2.5451806235582257,306.1617341241422,0.8181818181818182,0.09090909090909091,0.9500000000000001,0.25,10.0
MOR-26,0.45260023300114455,0.15893452446299264,2.8477150230913546,301.85912360488356,0.6666666666666666,0.058823529411764705,1.0,0.2,11.0
MOR-27,0.4273281147285225,0.16883119550769282,2.53109689499919,303.0911646703773,0.8181818181818182,0.06666666666666667,1.0,0.2,11.0
MOR-28,0.5890050958588529,0.21026476050557003,2.801254449117496,306.9431178866251,0.6666666666666666,0.1,0.9500000000000001,0.2,10.0
MOR-29,0.6104746523516,0.21898511364318027,2.787744985014472,306.09157468025296,0.6666666666666666,0.09090909090909091,1.0,0.2,9.0
MOR-30,0.5495857936313293,0.22191390901733402,2.4765720907940043,306.9884698427487,0.8181818181818182,0.1,1.0,0.2,10.0
MOR-31,0.5217068805603968,0.1576568575904073,3.309129006717817,306.08250129449425,0.5384615384615384,0.09090909090909091,0.9500000000000001,0.25,10.0
MOR-32,0.5000363940225666,0.19904100675199524,2.512228018649499,307.0630041162903,0.8181818181818182,0.1,1.0,0.2,11.0
MOR-33,0.5638615860766248,0.20058060085070648,2.81114715822549,306.0850922298568,0.6666666666666666,0.09090909090909091,0.9500000000000001,0.2,10.0
MOR-34,0.707023248914054,0.25794532653577834,2.740981038150293,306.02755598630483,0.6666666666666666,0.09090909090909091,1.0,0.15000000000000002,10.0
MOR-35,0.559279167477177,0.19872215783021888,2.814377488568764,306.9896827462264,0.6666666666666666,0.1,1.0,0.2,11.0
MOR-36,0.593918158504998,0.2122275643765559,2.7984967939942402,306.9552857660907,0.6666666666666666,0.1,1.0,0.2,10.0
MOR-37,0.8137259015448155,0.21929375551770414,3.7106660863360577,305.88335475232907,0.42857142857142855,0.09090909090909091,0.9500000000000001,0.15000000000000002,10.0
MOR-38,0.5705699626773132,0.20337432131796696,2.805516246986028,306.10012627638935,0.6666666666666666,0.09090909090909091,1.0,0.2,10.0
MOR-39,0.47724322481783055,0.18940570121866704,2.5196877482946403,307.00958275137185,0.8181818181818182,0.1,1.0,0.2,12.0
MOR-40,0.6180425983827512,0.2223892144960308,2.779103293221003,306.0857166835969,0.6666666666666666,0.09090909090909091,1.0,0.2,9.0
MOR-41,0.5563600167064758,0.19718024802300854,2.821580874781917,306.97846651979046,0.6666666666666666,0.1,1.05,0.2,11.0
MOR-42,0.6805685619231531,0.24663625029539524,2.759401998319545,306.90362638694495,0.6666666666666666,0.1,1.0,0.15000000000000002,11.0
MOR-43,0.607179270227288,0.1871806710596068,3.243813940777756,306.94055319986154,0.5384615384615384,0.1,1.05,0.2,11.0
MOR-44,0.593998553198336,0.21225372058785003,2.7985306997362387,306.9554173899732,0.6666666666666666,0.1,1.0,0.2,10.0
MOR-45,0.5138717626298791,0.20588845207067075,2.4958746226985755,307.0068961465143,0.8181818181818182,0.1,1.05,0.2,11.0
MOR-46,0.47996134160516907,0.16701135922802698,2.8738245339938797,306.13859328400133,0.6666666666666666,0.09090909090909091,1.0,0.25,10.0
MOR-47,0.6588210045229582,0.23829049992730025,2.7647808230876056,305.25493142825553,0.6666666666666666,0.08333333333333333,0.9500000000000001,0.15000000000000002,10.0
MOR-48,0.6432124335527826,0.23176785269346573,2.7752443925149968,306.9606028860547,0.6666666666666666,0.1,1.05,0.2,9.0
MOR-49,0.5547900510350654,0.22535990176954698,2.461795761707394,305.3112114187392,0.8181818181818182,0.08333333333333333,1.0,0.2,9.0
MOR-50,0.48008064550151525,0.1670670826630471,2.873580108355495,306.13858367140193,0.6666666666666666,0.09090909090909091,1.0,0.25,10.0
MOR-51,0.5530067128892657,0.22365360663468203,2.4726035998719764,306.9918612552214,0.8181818181818182,0.1,1.0,0.2,10.0
MOR-52,0.5889897959116336,0.21025781120079365,2.8012742668055055,306.9431177575883,0.6666666666666666,0.1,0.9500000000000001,0.2,10.0
MOR-53,0.6430309481986425,0.231885411007215,2.773054783419018,306.939743143556,0.6666666666666666,0.1,1.0,0.2,9.0
MOR-54,0.5411059157771654,0.1915140110880404,2.825411638046759,305.28958056564267,0.6666666666666666,0.08333333333333333,1.0,0.2,10.0
MOR-55,0.5471182733608948,0.19272245675673927,2.838892169434545,306.31421033016824,0.6666666666666666,0.09090909090909091,1.0,0.2,10.0
MOR-56,0.5139156766508983,0.18022708435760393,2.851489710787278,306.9689341035984,0.6666666666666666,0.1,0.9500000000000001,0.2,12.0
