id,beta,eta,beta/eta,error,tauOVq,delta,q,epsilon,fE0
OAX-0,0.29820349679774244,0.03805951279414734,7.835189546714301,327.0294143334073,0.6666666666666666,0.1111111111111111,1.05,0.2,10.0
OAX-1,0.3262953829661486,0.03329107594803752,9.801286791554823,327.0400552370121,0.5384615384615384,0.09090909090909091,1.0,0.2,10.0
OAX-2,0.33259212780218456,0.03535957145488138,9.405999963166133,327.02808982714197,0.5384615384615384,0.08333333333333333,1.05,0.2,9.0
OAX-3,0.288554155009055,0.03423087471412376,8.429645967825552,327.024985202866,0.6666666666666666,0.09090909090909091,1.05,0.2,10.0
OAX-4,0.26616109200788096,0.025761525148744416,10.331728827043197,327.0362635343941,0.6666666666666666,0.09090909090909091,1.05,0.25,11.0
OAX-5,0.2875324931851814,0.03334642087528775,8.622589340562934,327.0341426596661,0.6666666666666666,0.09090909090909091,1.05,0.2,10.0
OAX-6,0.33610936661219776,0.036468492705852056,9.21643154607985,327.0255521113658,0.5384615384615384,0.09090909090909091,1.0,0.2,9.0
OAX-7,0.32457453068999037,0.04792848580074378,6.772058938798218,327.04025421818613,0.6666666666666666,0.09090909090909091,1.0,0.15000000000000002,9.0
OAX-8,0.255720655911042,0.0326571704598437,7.830459660474391,327.08849342670794,0.8181818181818182,0.09090909090909091,1.0,0.2,10.0
OAX-9,0.2715196079080276,0.02741979575681442,9.902320583133776,327.0273282698152,0.6666666666666666,0.09090909090909091,1.0,0.25,10.0
OAX-10,0.33094294641360494,0.03467351405191099,9.544545900889599,327.025710236,0.5384615384615384,0.1,1.0,0.2,10.0
OAX-11,0.30145280514928285,0.03934994652416287,7.660818673900242,327.02681991382366,0.6666666666666666,0.1,0.9500000000000001,0.2,9.0
OAX-12,0.2925241672499679,0.03582710103958525,8.164885205943927,327.02589767331057,0.6666666666666666,0.1,1.0,0.2,10.0
OAX-13,0.2532168207568031,0.032758449169534104,7.729817106003262,327.02953047118353,0.8181818181818182,0.1,1.0,0.25,9.0
OAX-14,0.29672885607427146,0.051517603759516646,5.759756557377883,327.04889482077436,0.8181818181818182,0.1,1.0,0.15000000000000002,9.0
OAX-15,0.29282110004677964,0.03606879337468548,8.11840576436619,327.026533066808,0.6666666666666666,0.1,1.0,0.2,10.0
OAX-16,0.41227740807519,0.041551591711684134,9.92206052985593,327.05570938406817,0.42857142857142855,0.1,1.05,0.15000000000000002,10.0
OAX-17,0.3067207147780698,0.026160892293841647,11.72439805695285,327.0366844631778,0.5384615384615384,0.07142857142857142,1.0,0.25,9.0
OAX-18,0.30942512001886513,0.04219491339958705,7.333232730888681,327.02722013457355,0.6666666666666666,0.08333333333333333,1.0,0.15000000000000002,10.0
OAX-19,0.2890943825229379,0.03488230438476047,8.287708843262049,327.033159675737,0.6666666666666666,0.09090909090909091,1.0,0.2,10.0
OAX-20,0.35163112284536907,0.04206340997088302,8.359548669229952,327.0241677671495,0.5384615384615384,0.1,1.0,0.15000000000000002,11.0
OAX-21,0.3294317329400013,0.04957458852325014,6.645173318695324,327.0612063864345,0.6666666666666666,0.1,1.0,0.15000000000000002,9.0
OAX-22,0.3073022028683904,0.0263543741301927,11.66038705189101,327.02701057445046,0.5384615384615384,0.09090909090909091,0.9500000000000001,0.25,10.0
OAX-23,0.29252882131682273,0.03583047995924107,8.16424512453053,327.0258980664569,0.6666666666666666,0.1,1.0,0.2,10.0
OAX-24,0.2549894475176103,0.03383936458239545,7.535290649348237,327.028855223844,0.8181818181818182,0.1,0.9500000000000001,0.2,11.0
OAX-25,0.29794811677445954,0.03810374119134336,7.819392727823513,327.02733917564467,0.6666666666666666,0.09090909090909091,1.05,0.2,9.0
OAX-26,0.26846802128048514,0.0264040172016496,10.16769604527119,327.0299073800593,0.6666666666666666,0.1,0.9500000000000001,0.25,11.0
OAX-27,0.2428339184625358,0.02807753673072706,8.648690260523708,327.02755630531357,0.8181818181818182,0.09090909090909091,1.0,0.25,10.0
OAX-28,0.2752037140396518,0.029178784896404325,9.431637232898103,327.0408886120168,0.6666666666666666,0.1,1.0,0.25,10.0
OAX-29,0.33132356589119516,0.03469337552388649,9.550052737390109,327.0260918776726,0.5384615384615384,0.1,1.05,0.2,10.0
OAX-30,0.2637537140134076,0.03798996559227072,6.942720528998579,327.05962312108124,0.8181818181818182,0.08333333333333333,1.05,0.2,9.0
OAX-31,0.3078867257431659,0.02630613658747717,11.703988714547044,327.03042199529176,0.5384615384615384,0.09090909090909091,1.05,0.25,10.0
OAX-32,0.28849368928173974,0.03437008710265154,8.393743327449508,327.0262080005548,0.6666666666666666,0.09090909090909091,1.0,0.2,10.0
OAX-33,0.26215134756262487,0.03679836733585689,7.123993985113046,327.02615814332285,0.8181818181818182,0.1,1.0,0.2,10.0
OAX-34,0.2884784845141247,0.048625633876053426,5.9326421378784575,327.02158700738886,0.8181818181818182,0.1,1.0,0.15000000000000002,10.0
OAX-35,0.3112709821043285,0.027825470398347332,11.186548785993432,327.0283233525964,0.5384615384615384,0.1,0.9500000000000001,0.25,10.0
OAX-36,0.32982011574466175,0.03418760035779808,9.647360806048233,327.0287602577894,0.5384615384615384,0.1,0.9500000000000001,0.2,10.0
OAX-37,0.28825407029500155,0.033932059197071436,8.49503617274957,327.02654353008353,0.6666666666666666,0.09090909090909091,1.05,0.2,10.0
OAX-38,0.3068652355815625,0.04490029062533284,6.834370809360162,327.4975121467172,0.6666666666666666,0.09090909090909091,0.9500000000000001,0.2,9.0
OAX-39,0.2809681548373111,0.04467689135674965,6.288892228283096,327.03290265152145,0.8181818181818182,0.09090909090909091,0.9500000000000001,0.15000000000000002,10.0
OAX-40,0.28830697266165944,0.03401541864832408,8.475773167526903,327.02542216163636,0.6666666666666666,0.09090909090909091,1.05,0.2,10.0
OAX-41,0.254961460834605,0.033513831956292546,7.607648721492546,327.0264908437824,0.8181818181818182,0.08333333333333333,1.05,0.2,10.0
OAX-42,0.31827602710000896,0.030603416512279488,10.400016186830058,327.0353351202021,0.5384615384615384,0.09090909090909091,1.0,0.2,11.0
OAX-43,0.26861615276523576,0.026245719629268957,10.234665178152623,327.02764956962244,0.6666666666666666,0.1,1.0,0.25,11.0
OAX-44,0.2903360202351759,0.03394706455541884,8.5526104845148,327.06474818711837,0.6666666666666666,0.1,1.0,0.2,10.0
OAX-45,0.30501037031068967,0.041097775269655135,7.421578620969697,327.0262417567318,0.6666666666666666,0.09090909090909091,0.9,0.15000000000000002,11.0
OAX-46,0.27887825315610804,0.044302424748970996,6.294875613158973,327.0211733382989,0.8181818181818182,0.1,1.0,0.15000000000000002,11.0
OAX-47,0.254960652542668,0.03351323867198026,7.607759280986335,327.02649086818127,0.8181818181818182,0.08333333333333333,1.05,0.2,10.0
OAX-48,0.2889473577203843,0.048847160806687995,5.915335772817785,327.0215996719409,0.8181818181818182,0.1,1.05,0.15000000000000002,10.0
OAX-49,0.268686920994496,0.026320091289257067,10.208434235338862,327.0275724692214,0.6666666666666666,0.1,1.0,0.25,11.0
OAX-50,0.2795015773244992,0.03078050509869258,9.080474034728272,327.0296814911014,0.6666666666666666,0.09090909090909091,1.05,0.25,9.0
OAX-51,0.30907373592918147,0.027839425921614886,11.102015422279692,327.07090317367124,0.5384615384615384,0.07142857142857142,0.9500000000000001,0.2,11.0
OAX-52,0.29349156246435804,0.03682593067233069,7.969698446341618,327.0407440157359,0.6666666666666666,0.1,0.9500000000000001,0.2,10.0
OAX-53,0.31621175604854196,0.04551808682749506,6.946947424370553,327.0229999428517,0.6666666666666666,0.09090909090909091,1.0,0.15000000000000002,10.0
OAX-54,0.28321959976727334,0.032308062432472945,8.766220517223228,327.0308956888947,0.6666666666666666,0.1,1.0,0.25,9.0
OAX-55,0.2772971297574364,0.029740296336694838,9.323953151579579,327.02543136859526,0.6666666666666666,0.08333333333333333,1.0,0.2,11.0
OAX-56,0.2790560131081092,0.030511347981172814,9.14597458231941,327.02850223003026,0.6666666666666666,0.09090909090909091,1.0,0.25,9.0
OAX-57,0.3813805800144856,0.054675162005047045,6.975390031387205,327.25354594433634,0.5384615384615384,0.1111111111111111,1.0,0.15000000000000002,10.0
OAX-58,0.28118497869611114,0.031160369677426535,9.023801116833656,327.0295869193501,0.6666666666666666,0.07692307692307693,1.0,0.2,10.0
OAX-59,0.3098570951225397,0.02842488534655067,10.900909233047814,327.08145797330207,0.5384615384615384,0.09090909090909091,1.05,0.25,10.0
OAX-60,0.28688596865774374,0.03294633713732315,8.707674163048186,327.0396169098705,0.6666666666666666,0.09090909090909091,1.0,0.2,10.0
OAX-61,0.2842923956875489,0.03259030774190926,8.72321912204484,327.02517440543807,0.6666666666666666,0.1,0.9500000000000001,0.2,11.0
OAX-62,0.3159491515641104,0.04395799604508585,7.187523999957932,327.0828596207907,0.6666666666666666,0.1,0.9500000000000001,0.15000000000000002,10.0
OAX-63,0.324346724431568,0.03147549188278764,10.304738862840038,327.0518146357259,0.5384615384615384,0.09090909090909091,1.0,0.2,10.0
OAX-64,0.29421885974121426,0.05120017535443868,5.746442423379467,327.02166026935834,0.8181818181818182,0.09090909090909091,1.0,0.15000000000000002,9.0
OAX-65,0.29958515224866816,0.039717073111858105,7.542981614101436,327.07180365444594,0.6666666666666666,0.09090909090909091,0.9500000000000001,0.2,9.0
OAX-66,0.3543241505922305,0.042401597811241705,8.356386760932166,327.0267158478996,0.5384615384615384,0.09090909090909091,1.0,0.15000000000000002,10.0
OAX-67,0.27472999834567596,0.02805098301383006,9.793952611579602,327.04617384878253,0.6666666666666666,0.08333333333333333,1.0,0.25,9.0
OAX-68,0.24327378104136899,0.028660133789519298,8.488229079039805,327.0332788367968,0.8181818181818182,0.09090909090909091,1.0,0.25,10.0
OAX-69,0.31427071818042157,0.042565864473924124,7.383163059520241,327.16899486381874,0.6666666666666666,0.1,1.0,0.15000000000000002,10.0
OAX-70,0.28432606806842453,0.03245135471472639,8.761608585154002,327.0263581712841,0.6666666666666666,0.08333333333333333,1.0,0.2,10.0
OAX-71,0.28946718119121545,0.03483320617818996,8.310092952984009,327.0496621131271,0.6666666666666666,0.09090909090909091,1.05,0.2,10.0
OAX-72,0.29749313851467934,0.037513981419437736,7.9301936840149505,327.0334963910635,0.6666666666666666,0.1111111111111111,1.05,0.2,10.0
OAX-73,0.27551383831142584,0.02933049806655108,9.393425153786453,327.03224568922127,0.6666666666666666,0.1,1.0,0.25,10.0
OAX-74,0.335695476023007,0.03644057355097762,9.212134807741,327.02641252320933,0.5384615384615384,0.09090909090909091,0.9500000000000001,0.2,9.0
OAX-75,0.30212498675718,0.03957046000903697,7.635114342572256,327.03442243243063,0.6666666666666666,0.07142857142857142,0.9500000000000001,0.15000000000000002,10.0
OAX-76,0.2472343867943716,0.029972804077139155,8.248623857750504,327.0402932143456,0.8181818181818182,0.06666666666666667,1.0,0.2,10.0
OAX-77,0.24384182457619089,0.040125715194668364,6.076946501593844,327.0416908836186,1.0,0.1,0.9500000000000001,0.2,9.0
OAX-78,0.27944012686357644,0.030753658270849898,9.086402807839157,327.03755576488413,0.6666666666666666,0.07142857142857142,1.05,0.2,10.0
OAX-79,0.2801899379441825,0.030893818570937488,9.069449841586223,327.024293867938,0.6666666666666666,0.09090909090909091,0.9500000000000001,0.2,11.0
OAX-80,0.30204528889131715,0.04103960999547718,7.359847935314308,327.10647096241274,0.6666666666666666,0.1111111111111111,1.05,0.2,10.0
OAX-81,0.3025855816313882,0.039653910665841244,7.6306618073874395,327.0311326864407,0.6666666666666666,0.07142857142857142,1.0,0.15000000000000002,10.0
OAX-82,0.33622581737147256,0.036484115717531955,9.215676761213201,327.0281952969623,0.5384615384615384,0.09090909090909091,1.0,0.2,9.0
OAX-83,0.28871100269069017,0.03475886703787949,8.306110851543547,327.03449792091965,0.6666666666666666,0.09090909090909091,0.9500000000000001,0.2,10.0
OAX-84,0.25677895103401843,0.033827664142519566,7.590797577751194,327.0358741266253,0.8181818181818182,0.09090909090909091,0.9500000000000001,0.2,10.0
OAX-85,0.279968242899474,0.030571398728933153,9.15784866050334,327.027679910797,0.6666666666666666,0.09090909090909091,0.9500000000000001,0.2,11.0
OAX-86,0.27404559222660335,0.028276913517485413,9.691495928547631,327.037099650505,0.6666666666666666,0.07692307692307693,1.0,0.2,11.0
OAX-87,0.26206262985408646,0.03672103229563758,7.13658123073025,327.02617580030625,0.8181818181818182,0.1,1.0,0.2,10.0
OAX-88,0.32029719040994287,0.048062028663238485,6.664246169345129,327.0755075970339,0.6666666666666666,0.09090909090909091,1.05,0.15000000000000002,10.0
OAX-89,0.23745813062672483,0.03768504974141656,6.301122918931801,327.02714862906265,1.0,0.1,0.9500000000000001,0.2,10.0
