id,beta,eta,beta/eta,error,tauOVq,delta,q,epsilon,fE0
PUE-0,0.5262711987001718,0.16683223585818213,3.154493470599623,224.24899301345135,0.6666666666666666,0.1,1.0,0.15000000000000002,10.0
PUE-1,0.38284631213921816,0.10943252281252916,3.4984692146326473,224.28008973878613,0.6666666666666666,0.09090909090909091,1.0,0.25,9.0
PUE-2,0.3736229997700751,0.10578628571081983,3.5318661323587897,224.2450286693346,0.6666666666666666,0.1,1.0,0.25,10.0
PUE-3,0.430395778626369,0.12849065620751215,3.349627057171229,224.24643619748974,0.6666666666666666,0.1,0.9500000000000001,0.2,10.0
PUE-4,0.48094074321172653,0.12466512242069946,3.857861235548515,224.2465027048597,0.5384615384615384,0.1,1.05,0.2,10.0
PUE-5,0.617825413341005,0.17256162858673346,3.580317469190271,224.24967953725516,0.5384615384615384,0.1,1.0,0.15000000000000002,9.0
PUE-6,0.5221186101236303,0.19127303055145953,2.7297032342631335,224.24936420836033,0.8181818181818182,0.1,1.0,0.15000000000000002,9.0
PUE-7,0.36500829283748676,0.1207337681733688,3.0232494053639547,224.31269871654527,0.8181818181818182,0.08333333333333333,1.0,0.2,10.0
PUE-8,0.500766570804756,0.15649250110899002,3.1999397239871223,224.28814748483572,0.6666666666666666,0.09090909090909091,1.0,0.15000000000000002,10.0
PUE-9,0.3378058120492767,0.09186006862297964,3.6773955986874958,224.53868538082992,0.6666666666666666,0.05263157894736842,1.0,0.2,10.0
PUE-10,0.37580367755900485,0.10674922357231242,3.5204347627356154,224.31270164239868,0.6666666666666666,0.08333333333333333,1.0,0.2,11.0
PUE-11,0.3935602763862548,0.13343381424627232,2.949479325082319,224.24628517311913,0.8181818181818182,0.1,0.9500000000000001,0.2,10.0
PUE-12,0.4017972461662775,0.11703730686809748,3.4330698212246804,224.24522636906534,0.6666666666666666,0.1,1.05,0.25,9.0
PUE-13,0.4493256149503381,0.11424848480013199,3.9328802980310424,224.67543533729136,0.5384615384615384,0.041666666666666664,1.0,0.15000000000000002,9.0
PUE-14,0.4809510962210239,0.12466941300070905,3.8578115084113573,224.24650256320638,0.5384615384615384,0.1,1.05,0.2,10.0
PUE-15,0.40618525702293196,0.11880855956468746,3.4188214932593057,224.24614956263818,0.6666666666666666,0.1,1.0,0.2,11.0
PUE-16,0.33976963277544153,0.09249765078579557,3.6732785091188322,224.28510265920636,0.6666666666666666,0.09090909090909091,1.0,0.25,11.0
PUE-17,0.40617900405832397,0.11880565054472086,3.4188525730552684,224.24614966320217,0.6666666666666666,0.1,1.0,0.2,11.0
PUE-18,0.46636496401602817,0.14301724104767327,3.2609002984512223,224.35032900947178,0.6666666666666666,0.07692307692307693,0.9500000000000001,0.15000000000000002,10.0
