id,beta,eta,beta/eta,error,tauOVq,delta,q,epsilon,fE0
QUE-0,0.2651076523015292,0.046946632428335536,5.647000404261552,44.04436658816323,0.6666666666666666,0.08333333333333333,1.0,0.15000000000000002,11.0
QUE-1,0.26780621470546095,0.03461709161119291,7.736242481412559,44.049338071029915,0.5384615384615384,0.07142857142857142,0.9500000000000001,0.2,10.0
QUE-2,0.2527168153060561,0.029391284815645027,8.598358897584992,44.045498650241434,0.5384615384615384,0.09090909090909091,1.0,0.25,11.0
QUE-3,0.24935199195221142,0.040521126054348336,6.1536293837879015,44.04542251968977,0.6666666666666666,0.09090909090909091,0.9500000000000001,0.2,10.0
QUE-4,0.23609137925492582,0.03579989966174477,6.594749747503049,44.04909546526965,0.6666666666666666,0.1,0.9500000000000001,0.25,10.0
QUE-5,0.2837211555972018,0.0543768334571222,5.217684399017545,44.046097594140065,0.6666666666666666,0.07692307692307693,1.0,0.15000000000000002,9.0
QUE-6,0.23933795595385948,0.036678696101850074,6.525258021420976,44.04567748644152,0.6666666666666666,0.09090909090909091,1.0,0.25,9.0
QUE-7,0.25037366887532414,0.04108440268561121,6.094129462980151,44.04483180850391,0.6666666666666666,0.09090909090909091,1.0,0.2,10.0
QUE-8,0.27289826966049363,0.03630102759231701,7.517645856346272,44.04522250270853,0.5384615384615384,0.09090909090909091,1.05,0.2,11.0
QUE-9,0.26579337980664874,0.04676839643075065,5.6831835190288285,44.050199236602,0.6666666666666666,0.1,1.0,0.2,9.0
QUE-10,0.303152955901644,0.04727498268312496,6.412545043826234,44.04589750150598,0.5384615384615384,0.1,1.0,0.2,9.0
QUE-11,0.30648050276167726,0.03293219282158375,9.306410430125078,44.04583970884454,0.42857142857142855,0.1,1.0,0.25,10.0
QUE-12,0.25037027300833353,0.041084574078485515,6.094021384523572,44.04483212663905,0.6666666666666666,0.09090909090909091,1.0,0.2,10.0
QUE-13,0.24614121845946502,0.03916397816883404,6.284888051932875,44.04592870942983,0.6666666666666666,0.1,1.0,0.2,11.0
QUE-14,0.22759817953626058,0.03200097207620938,7.112227059673129,44.04547350856897,0.6666666666666666,0.1,1.0,0.25,11.0
QUE-15,0.26786679627825516,0.04805771003581518,5.573856849996108,44.04494275048432,0.6666666666666666,0.1,1.0,0.2,9.0
QUE-16,0.20740396150210538,0.0347702914384407,5.964976217392516,44.05027431860862,0.8181818181818182,0.09090909090909091,1.0,0.25,10.0
