id,beta,eta,beta/eta,error,tauOVq,delta,q,epsilon,fE0
ROO-0,0.7519897857691041,0.2828193865837816,2.6589046629812163,227.44182442154528,0.6666666666666666,0.1,1.05,0.15000000000000002,9.0
ROO-1,0.6319169757257398,0.20283960206694077,3.1153530636349585,228.33329680873052,0.5384615384615384,0.1111111111111111,1.0,0.2,10.0
ROO-2,0.5217842704633178,0.19119288381940375,2.7290988034689763,226.69129878885673,0.6666666666666666,0.09090909090909091,0.9500000000000001,0.2,10.0
ROO-3,0.5468920139849314,0.20081358704677382,2.723381530242515,227.4972164607034,0.6666666666666666,0.1,0.9500000000000001,0.2,10.0
ROO-4,0.6120496696237196,0.25785239105193675,2.3736435684260937,226.69659875211926,0.8181818181818182,0.09090909090909091,1.0,0.15000000000000002,10.0
ROO-5,0.5717855031160802,0.18257052313500638,3.1318610107353364,226.65014299579343,0.5384615384615384,0.09090909090909091,1.0,0.2,10.0
ROO-6,0.48180477391194654,0.1751570182413862,2.750702077195474,226.74370098753977,0.6666666666666666,0.09090909090909091,1.05,0.25,9.0
ROO-7,0.5129107978847256,0.2128403160792078,2.409838546254778,227.56881920961354,0.8181818181818182,0.1,1.05,0.2,10.0
ROO-8,0.5151414753763679,0.1881028847637465,2.7386154977015655,227.5410022041321,0.6666666666666666,0.1,1.05,0.2,11.0
ROO-9,0.6086555827173216,0.22675266611791933,2.684226797142925,225.256308929883,0.6666666666666666,0.07692307692307693,1.0,0.15000000000000002,10.0
ROO-10,0.5901408050841918,0.18947141071858778,3.1146693997053614,225.87654774923368,0.5384615384615384,0.08333333333333333,0.9500000000000001,0.2,9.0
ROO-11,0.6037754692932265,0.19333474253041785,3.12295380225431,227.47383222484538,0.5384615384615384,0.1,1.05,0.2,10.0
ROO-12,0.6342332288806353,0.2670759074016404,2.37473022202204,227.5221427345945,0.8181818181818182,0.1,1.0,0.15000000000000002,10.0
ROO-13,0.5996346970547006,0.19194933533770817,3.1239217161118416,227.45413598997908,0.5384615384615384,0.1,1.0,0.2,10.0
ROO-14,0.5975457704782827,0.22104167476410727,2.703317241492925,227.49676184562577,0.6666666666666666,0.1,1.0,0.2,9.0
ROO-15,0.798705852975207,0.2616066682728856,3.0530791063095752,227.3525340529617,0.5384615384615384,0.1,1.0,0.15000000000000002,9.0
ROO-16,0.5670902211230083,0.18094951286988406,3.1339693162411977,226.62813926161263,0.5384615384615384,0.09090909090909091,0.9500000000000001,0.2,10.0
ROO-17,0.6572747564830204,0.24537921687533978,2.6786080942500368,226.64501913461677,0.6666666666666666,0.09090909090909091,1.0,0.15000000000000002,10.0
ROO-18,0.4629236525572564,0.16723141807287978,2.7681619751350395,227.553524889313,0.6666666666666666,0.1,1.0,0.25,10.0
ROO-19,0.5494371771204949,0.20173312505125374,2.723584324492574,227.5153348362317,0.6666666666666666,0.1,1.0,0.2,10.0
ROO-20,0.520904405946871,0.190571992724351,2.7333733488337013,226.72144246533014,0.6666666666666666,0.09090909090909091,1.0,0.2,10.0
ROO-21,0.44577141669325787,0.16091843092686242,2.7701700428328273,226.75961018039422,0.6666666666666666,0.09090909090909091,1.05,0.25,10.0
ROO-22,0.7904029421315034,0.25876365768026277,3.0545361323812803,227.32597290162465,0.5384615384615384,0.1,0.9500000000000001,0.15000000000000002,9.0
ROO-23,0.6774503187269442,0.253860223743541,2.6685957679267216,225.87764433364248,0.6666666666666666,0.08333333333333333,0.9500000000000001,0.15000000000000002,9.0
ROO-24,0.6083837128911312,0.22663073946061987,2.684471287253802,225.25627720072274,0.6666666666666666,0.07692307692307693,1.0,0.15000000000000002,10.0
ROO-25,0.5072557254092946,0.1596239712053167,3.1778167250132863,227.50102815674387,0.5384615384615384,0.1,1.0,0.25,10.0
ROO-26,0.4854683609727046,0.20091386032974728,2.416300996735297,226.7510353055267,0.8181818181818182,0.09090909090909091,1.0,0.2,10.0
ROO-27,0.6879545131227341,0.22303263767339368,3.08454637087764,227.38287491818173,0.5384615384615384,0.1,0.9500000000000001,0.15000000000000002,11.0
ROO-28,0.512455339908978,0.18729209744170014,2.736129003352605,227.52592816310002,0.6666666666666666,0.1,0.9500000000000001,0.2,11.0
ROO-29,0.5122873098335737,0.18699936158109046,2.7395136833738616,227.52797226757667,0.6666666666666666,0.1,1.0,0.2,11.0
ROO-30,0.505389820838855,0.18511507879061523,2.7301385934665237,225.97475137209798,0.6666666666666666,0.08333333333333333,1.0,0.2,10.0
