id,beta,eta,beta/eta,error,tauOVq,delta,q,epsilon,fE0
TAB-0,1.3463070091591915,0.43708545405041255,3.0801917489661217,482.7231725227333,0.5384615384615384,0.09090909090909091,1.0,0.2,10.0
TAB-1,1.1843163796905578,0.44026367517324494,2.690016111877788,477.9274883239454,0.6666666666666666,0.07142857142857142,1.0,0.2,10.0
TAB-2,1.2753442370709125,0.4755910951913325,2.681598225799067,484.89215549374745,0.6666666666666666,0.1,1.05,0.2,11.0
TAB-3,1.065637358885873,0.39276796175472606,2.713147360912643,479.74459974650995,0.6666666666666666,0.07692307692307693,1.05,0.25,10.0
TAB-4,1.748862965503815,0.6651164326057623,2.6294087467546112,484.1642463406919,0.6666666666666666,0.1,1.05,0.15000000000000002,9.0
TAB-5,1.4546353840713675,0.5473173158547167,2.657755093678591,484.72472515399807,0.6666666666666666,0.1,1.05,0.2,9.0
TAB-6,1.2077715343434678,0.5088678502208575,2.3734483006133598,484.97438831527234,0.8181818181818182,0.1,1.0,0.2,11.0
TAB-7,1.294562532299499,0.4836674888767555,2.676554786235321,482.8799856770617,0.6666666666666666,0.09090909090909091,1.0,0.2,10.0
TAB-8,1.5268504853334826,0.5765291573132794,2.6483491181068044,482.3385644590662,0.6666666666666666,0.09090909090909091,0.9500000000000001,0.15000000000000002,10.0
TAB-9,1.3076166247872003,0.4244539779505582,3.080702956539415,479.4421743372405,0.5384615384615384,0.07692307692307693,1.05,0.2,10.0
TAB-10,1.1881059730181616,0.4430883183351593,2.6814202132033156,472.80238034038763,0.6666666666666666,0.05555555555555555,1.0,0.2,9.0
TAB-11,1.3558306028991396,0.5080054572298248,2.6689292085414613,482.7601422021787,0.6666666666666666,0.09090909090909091,0.9500000000000001,0.2,9.0
TAB-12,1.2432575872984142,0.5251545994148945,2.3674125461028055,483.01337587482067,0.8181818181818182,0.09090909090909091,1.0,0.2,10.0
TAB-13,1.1991976782853624,0.3854697688620862,3.1110031840510235,484.8571662341789,0.5384615384615384,0.1,0.9500000000000001,0.25,10.0
TAB-14,1.2458487118253816,0.5273084394970049,2.3626564995124792,478.03170804084294,0.8181818181818182,0.07142857142857142,1.05,0.2,9.0
TAB-15,1.2490469045173105,0.5278933689716327,2.3660969770287648,483.0029674582287,0.8181818181818182,0.09090909090909091,1.0,0.2,10.0
TAB-16,1.3177976777795566,0.42766479658741885,3.081379829003966,480.9976023490141,0.5384615384615384,0.08333333333333333,1.0,0.2,10.0
TAB-17,1.0519913834284862,0.44014221033637674,2.3901170092832187,478.22610471164586,0.8181818181818182,0.07142857142857142,1.0,0.25,9.0
TAB-18,1.24464765916044,0.46347771735960497,2.6854530704325916,484.79062658900585,0.6666666666666666,0.1,0.9500000000000001,0.2,11.0
TAB-19,1.4183097607962463,0.603850853946244,2.348774952502604,484.8262133127775,0.8181818181818182,0.1,1.05,0.2,9.0
TAB-20,1.500040550395169,0.5657429951802281,2.6514522728068473,484.30680856400085,0.6666666666666666,0.1,0.9500000000000001,0.15000000000000002,11.0
TAB-21,1.4434006898346696,0.543074579384441,2.6578314372046683,484.6889549290629,0.6666666666666666,0.1,1.0,0.2,9.0
TAB-22,1.3356697285643302,0.4996713043641338,2.6730967275858717,484.78005104101874,0.6666666666666666,0.1,1.0,0.2,10.0
TAB-23,1.2449821793918372,0.4636188620300517,2.6853570494099905,484.791106893409,0.6666666666666666,0.1,0.9500000000000001,0.2,11.0
TAB-24,1.7505014650954622,0.5782394059175144,3.027295350647843,483.9936580426303,0.5384615384615384,0.1,1.0,0.15000000000000002,9.0
TAB-25,1.2065874222503932,0.4487082515775438,2.6890243671881215,479.51707017991555,0.6666666666666666,0.07692307692307693,1.0,0.2,10.0
TAB-26,1.0896869273574241,0.4019000968029739,2.7113378076433468,483.0576848191562,0.6666666666666666,0.09090909090909091,0.9,0.25,10.0
TAB-27,1.318695676404853,0.49343479374163673,2.672482145828014,482.93646012652283,0.6666666666666666,0.09090909090909091,1.05,0.2,10.0
TAB-28,1.3094842559109425,0.4890838736667338,2.677422680272703,484.7640814359068,0.6666666666666666,0.1,0.9500000000000001,0.2,10.0
TAB-29,1.2512283620423357,0.5289253409030611,2.365604869500202,483.00511099500613,0.8181818181818182,0.09090909090909091,1.0,0.2,10.0
TAB-30,1.3240622669168882,0.49525708840120586,2.6734847373739568,484.71252930497155,0.6666666666666666,0.1,0.9500000000000001,0.2,10.0
TAB-31,1.2645742955284118,0.5348734074897861,2.3642497043612325,483.0377431247886,0.8181818181818182,0.09090909090909091,1.05,0.2,10.0
TAB-32,1.1601130482808457,0.4296542905086774,2.700108142542605,485.0672772443908,0.6666666666666666,0.1,1.0,0.25,10.0
TAB-33,2.134358061200549,0.7131753957861567,2.992753358867317,481.31801054987176,0.5384615384615384,0.09090909090909091,1.0,0.1,9.0
TAB-34,1.2045742312337246,0.5074736135590462,2.373668697345125,485.1665106181946,0.8181818181818182,0.1,1.05,0.25,9.0
TAB-35,1.2415774024733455,0.40120168524219874,3.094646528525487,477.74724592863583,0.5384615384615384,0.07142857142857142,1.0,0.2,10.0
TAB-36,1.228772789393744,0.5191987363927107,2.3666713789232463,481.29373953014465,0.8181818181818182,0.08333333333333333,1.05,0.2,10.0
TAB-37,1.3200108101528474,0.5596387739114737,2.358683621806471,484.91727320801454,0.8181818181818182,0.1,1.05,0.2,10.0
TAB-38,1.6072604380997375,0.6083715821068922,2.6419058440131713,484.2231311880912,0.6666666666666666,0.1,1.0,0.15000000000000002,10.0
TAB-39,1.3408540698512514,0.5018616511754103,2.671760368043338,484.76378973884755,0.6666666666666666,0.1,1.0,0.2,10.0
TAB-40,1.3372801852021003,0.5003510077149331,2.6726841049233863,484.7730000544707,0.6666666666666666,0.1,1.0,0.2,10.0
TAB-41,1.4401304565212687,0.5428198935611009,2.6530539385236525,477.55928104441557,0.6666666666666666,0.07142857142857142,1.0,0.15000000000000002,10.0
TAB-42,1.1538168232168562,0.42797655316506117,2.6959813912325576,483.42671428916816,0.6666666666666666,0.09090909090909091,1.05,0.25,10.0
TAB-43,1.4984449885030282,0.6404889779850392,2.339532825712466,480.84102102976266,0.8181818181818182,0.08333333333333333,1.05,0.15000000000000002,10.0
TAB-44,1.2687392750831807,0.47322600386543623,2.681043021135314,484.85699233850534,0.6666666666666666,0.1,1.0,0.2,11.0
TAB-45,1.3410765504663882,0.5019577419309244,2.671692133500228,484.7634758069589,0.6666666666666666,0.1,1.0,0.2,10.0
TAB-46,1.2291520587719966,0.4573661179520545,2.687457619894896,484.94766828120027,0.6666666666666666,0.1,0.9500000000000001,0.25,9.0
TAB-47,1.198295307401966,0.4451756813300102,2.6917357745641675,482.9009922860986,0.6666666666666666,0.09090909090909091,0.9500000000000001,0.2,11.0
TAB-48,1.2977911525284063,0.549571311963098,2.361460877374816,484.88961084971515,0.8181818181818182,0.1,1.0,0.2,10.0
TAB-49,1.5791659505275442,0.5971592502047048,2.6444636836592745,484.17088942334493,0.6666666666666666,0.1,0.9500000000000001,0.15000000000000002,10.0
TAB-50,1.1726637533851025,0.3763423529041048,3.115949465522705,482.9975914041094,0.5384615384615384,0.09090909090909091,1.0,0.25,10.0
TAB-51,1.346383880093405,0.43711448221549754,3.080163057671554,482.7231760490148,0.5384615384615384,0.09090909090909091,1.0,0.2,10.0
TAB-52,1.5464284702329094,0.5841960503312983,2.6471053156828566,482.40629417413203,0.6666666666666666,0.09090909090909091,1.0,0.15000000000000002,10.0
TAB-53,1.064181734919349,0.3916743000676015,2.717006795533113,483.26843927412705,0.6666666666666666,0.09090909090909091,1.05,0.25,11.0
TAB-54,1.4108748856297475,0.4598287226193755,3.068261759710915,484.7362920174992,0.5384615384615384,0.1,1.0,0.2,10.0
TAB-55,1.6079779416735316,0.6086729491024528,2.641776579762006,484.2231008297425,0.6666666666666666,0.1,1.0,0.15000000000000002,10.0
TAB-56,1.307479247433381,0.4894142201001207,2.6715187130564098,479.382034759038,0.6666666666666666,0.07692307692307693,1.0,0.2,9.0
TAB-57,1.1607855412734447,0.4884910987252724,2.3762675395775656,479.64385959904047,0.8181818181818182,0.07692307692307693,1.0,0.2,10.0
TAB-58,1.346368845938109,0.43710857114655344,3.080170316510905,482.7231754705807,0.5384615384615384,0.09090909090909091,1.0,0.2,10.0
TAB-59,1.26503979011395,0.47160412465637036,2.682418842362137,484.86828554821005,0.6666666666666666,0.1,1.0,0.2,11.0
TAB-60,1.4518473573441377,0.5461424820528118,2.6583673767457348,484.733904928601,0.6666666666666666,0.1,1.05,0.2,9.0
TAB-61,1.6120297404645547,0.6103743039889808,2.641051122122036,484.22807701085173,0.6666666666666666,0.1,1.0,0.15000000000000002,10.0
TAB-62,2.114375637025651,0.7056502506287481,2.9963507206887563,483.1387220233959,0.5384615384615384,0.1,1.05,0.1,10.0
TAB-63,1.2946031375644012,0.4836847785377196,2.676543060706309,482.8799842979252,0.6666666666666666,0.09090909090909091,1.0,0.2,10.0
TAB-64,1.3524064484227358,0.5067544360917693,2.6687609463330393,484.7950736289091,0.6666666666666666,0.1,1.0,0.2,10.0
TAB-65,1.473704148838304,0.48111805058186163,3.0630822249466925,486.6689258649666,0.5384615384615384,0.1111111111111111,1.05,0.2,10.0
TAB-66,1.4361982620146256,0.5400354185093198,2.659451978129542,484.6730084856713,0.6666666666666666,0.1,1.0,0.2,9.0
TAB-67,1.3131773719578395,0.5567945608129868,2.3584594110266504,484.94827959728104,0.8181818181818182,0.1,1.0,0.2,10.0
