id,beta,eta,beta/eta,error,tauOVq,delta,q,epsilon,fE0
TAM-0,0.8219468621624342,0.29299020661135655,2.8053731613382014,1033.494348463315,0.6666666666666666,0.1,0.9500000000000001,0.15000000000000002,10.0
TAM-1,0.6348860110820357,0.21676701170605575,2.928886670002007,1033.0638557420816,0.6666666666666666,0.08333333333333333,1.0,0.2,9.0
TAM-2,0.7201890702300782,0.2150007099093882,3.3497055453147158,1033.2265121380685,0.5384615384615384,0.09090909090909091,1.0,0.2,9.0
TAM-3,0.6534896116990461,0.22478703226855867,2.9071499592481196,1033.4399232282622,0.6666666666666666,0.1,0.9500000000000001,0.2,10.0
TAM-4,0.6610679938154397,0.22815640909074958,2.897433372351591,1033.4552781650982,0.6666666666666666,0.1,0.9500000000000001,0.2,10.0
TAM-5,0.7240136684891184,0.25327358218834645,2.858622925586874,1033.4546219713695,0.6666666666666666,0.1,1.05,0.2,9.0
TAM-6,0.5947868618824392,0.20216734774419085,2.9420520599352327,1032.7740088892685,0.6666666666666666,0.07692307692307693,1.0,0.2,10.0
TAM-7,0.623214870715591,0.2441723404461103,2.552356542829374,1033.4759937976776,0.8181818181818182,0.1,1.05,0.2,10.0
TAM-8,0.777584968081123,0.27468620372441926,2.8308118774732502,1033.1882922000418,0.6666666666666666,0.09090909090909091,1.0,0.15000000000000002,10.0
TAM-9,0.5502665474947313,0.18414392300848378,2.988241688917313,1033.2503588138452,0.6666666666666666,0.09090909090909091,1.05,0.25,10.0
TAM-10,0.7063031788935875,0.2460343947314514,2.870749757018824,1033.4374230907306,0.6666666666666666,0.1,0.9500000000000001,0.2,9.0
TAM-11,0.4974240595460605,0.16205388110321414,3.0694979728948604,1033.2487433166061,0.6666666666666666,0.09090909090909091,1.05,0.25,11.0
TAM-12,0.6306036580637695,0.2157754615944191,2.922499404724155,1033.2080248109094,0.6666666666666666,0.09090909090909091,1.0,0.2,10.0
TAM-13,0.537629994459315,0.20416422749670068,2.633321228950371,1033.5981996887294,0.8181818181818182,0.1,1.0,0.25,9.0
TAM-14,0.6882047109995413,0.27256514939176063,2.524918216930139,1033.4591939517284,0.8181818181818182,0.1,0.9500000000000001,0.15000000000000002,11.0
