id,beta,eta,beta/eta,error,tauOVq,delta,q,epsilon,fE0
TOT-0,1.5102197738426595,0.6383776725761184,2.365715216430263,44243.98237246119,0.8181818181818182,0.07142857142857142,0.9500000000000001,0.15000000000000002,10.0
TOT-1,1.363077538428979,0.43590308667863675,3.127019697921727,44241.23951751358,0.5384615384615384,0.07142857142857142,1.0,0.2,10.0
TOT-2,1.3833333306969735,0.5118423978218976,2.7026548339559846,44876.42639379933,0.6666666666666666,0.08333333333333333,1.0,0.2,10.0
TOT-3,1.4760783484951394,0.47499724454699316,3.107551392014666,45171.478120996886,0.5384615384615384,0.09090909090909091,1.0,0.2,10.0
TOT-4,1.511892783188408,0.5630953997636127,2.6849673853189002,45578.50185293392,0.6666666666666666,0.1,1.05,0.2,10.0
TOT-5,1.4396480424793143,0.6060100311987544,2.375617511861202,45591.06029811149,0.8181818181818182,0.1,1.0,0.2,10.0
TOT-6,2.021090759758141,0.6655468084601502,3.036737212269502,45414.583026679065,0.5384615384615384,0.1,1.0,0.15000000000000002,8.0
TOT-7,1.4802459124499652,0.5502870452712205,2.6899523170137414,45562.24036676033,0.6666666666666666,0.1,1.0,0.2,10.0
TOT-8,1.8728179179176496,0.7072704760361023,2.647951499988885,45468.18423375494,0.6666666666666666,0.1,1.0,0.15000000000000002,9.0
TOT-9,1.7613378631314713,0.662684373311845,2.657883502411522,45486.01370816013,0.6666666666666666,0.1,1.0,0.15000000000000002,10.0
TOT-10,1.1251132949873803,0.40857051172658787,2.7537799784735744,44924.86995402955,0.6666666666666666,0.08333333333333333,1.0,0.25,11.0
TOT-11,1.4761305411689187,0.47501688001935216,3.1075328125366433,45171.47706473351,0.5384615384615384,0.09090909090909091,1.0,0.2,10.0
TOT-12,1.5894557665502225,0.5145251810828004,3.0891700250807315,45495.678030086914,0.5384615384615384,0.1,0.9500000000000001,0.2,9.0
TOT-13,1.5090109098986404,0.6374119663291448,2.3674028565686234,45233.554517858,0.8181818181818182,0.09090909090909091,1.05,0.2,9.0
TOT-14,1.2996352987044855,0.5434828988175225,2.3913085426094436,44597.779225806975,0.8181818181818182,0.07692307692307693,1.0,0.2,10.0
TOT-15,1.7933925010142757,0.6755041128267937,2.654895013902188,45497.047660541284,0.6666666666666666,0.1,1.05,0.15000000000000002,10.0
TOT-16,1.347128015524885,0.49726392999311814,2.7090804988480235,45221.06973314538,0.6666666666666666,0.09090909090909091,1.0,0.2,11.0
TOT-17,1.5394319246630088,0.4971923754529501,3.0962500646969136,45141.056395479776,0.5384615384615384,0.09090909090909091,0.9500000000000001,0.2,9.0
TOT-18,1.8304939929934554,0.5988483239373531,3.056690517154971,45466.64972803309,0.5384615384615384,0.1,1.05,0.15000000000000002,10.0
TOT-19,1.4045302496877952,0.5201694106967663,2.7001400328528136,45196.04376458234,0.6666666666666666,0.09090909090909091,0.9500000000000001,0.2,10.0
TOT-20,1.579542549278321,0.5900038143399121,2.6771734536080767,45547.79945104939,0.6666666666666666,0.1,1.0,0.2,9.0
TOT-21,2.0287091961839683,0.8710596702695427,2.329012885599674,45482.71597400013,0.8181818181818182,0.1,1.05,0.15000000000000002,8.0
TOT-22,1.3850228127238842,0.581584150961571,2.3814658814789493,45238.01172612983,0.8181818181818182,0.09090909090909091,1.0,0.2,10.0
TOT-23,1.3684436447804387,0.5747886659508076,2.38077701569981,44307.155784072704,0.8181818181818182,0.07142857142857142,1.0,0.2,9.0
TOT-24,1.6563948044410342,0.6211250546521476,2.6667653993907474,44813.60550387421,0.6666666666666666,0.08333333333333333,1.0,0.15000000000000002,10.0
TOT-25,1.3855336102786797,0.5818240854064017,2.3813617294837326,45237.9858991679,0.8181818181818182,0.09090909090909091,1.0,0.2,10.0
TOT-26,1.648183644061644,0.5352085812420603,3.079516476056305,45117.9327934835,0.5384615384615384,0.09090909090909091,1.0,0.15000000000000002,11.0
TOT-27,1.088061728388277,0.39353867323738123,2.7648152580215712,45657.43866474419,0.6666666666666666,0.1,1.05,0.30000000000000004,11.0
TOT-28,1.4376782512656214,0.5337357029484918,2.693614542410262,44554.28251404121,0.6666666666666666,0.07692307692307693,1.0,0.2,9.0
TOT-29,1.2592384937740244,0.5252474425218944,2.3974195623456738,44919.64004704907,0.8181818181818182,0.08333333333333333,1.0,0.2,11.0
TOT-30,1.794044758671382,0.5860905516014491,3.061036820623174,45452.50504880721,0.5384615384615384,0.1,1.0,0.15000000000000002,10.0
TOT-31,1.4801671101283307,0.55025387640721,2.6899712543468706,45562.24221965509,0.6666666666666666,0.1,1.0,0.2,10.0
TOT-32,1.3156234029557834,0.5503600124729955,2.390477820225606,45257.1492786729,0.8181818181818182,0.09090909090909091,1.05,0.2,11.0
TOT-33,1.7278746148920023,0.6493053949505374,2.6611123645809656,45473.30480304357,0.6666666666666666,0.1,0.9500000000000001,0.15000000000000002,10.0
TOT-34,1.5796026977369517,0.5900290583201905,2.6771608541350016,45547.79916792629,0.6666666666666666,0.1,1.0,0.2,9.0
TOT-35,1.3943942180781834,0.5159483810858129,2.7025847336582047,45574.85592551435,0.6666666666666666,0.1,1.0,0.2,11.0
TOT-36,1.3004404219158365,0.47865933533262306,2.7168391503576403,44888.143354376065,0.6666666666666666,0.08333333333333333,1.0,0.2,11.0
TOT-37,1.792730057845838,0.6752281136013352,2.654999135454086,45497.05316560906,0.6666666666666666,0.1,1.05,0.15000000000000002,10.0
TOT-38,1.337490890400122,0.4263294320595278,3.137223916113232,45571.77724892415,0.5384615384615384,0.1,1.0,0.25,10.0
TOT-39,1.2088570245067232,0.44284665453840294,2.729741801406999,43324.899651093394,0.6666666666666666,0.05555555555555555,1.0,0.2,10.0
TOT-40,1.3854270305327254,0.5817738060694215,2.3813843388600517,45237.98752523013,0.8181818181818182,0.09090909090909091,1.0,0.2,10.0
TOT-41,1.5795673624900788,0.5900142216421624,2.677168286035095,45547.79924771098,0.6666666666666666,0.1,1.0,0.2,9.0
TOT-42,1.20049669418612,0.4385779733449042,2.7372480314738277,45225.2359456135,0.6666666666666666,0.09090909090909091,0.9,0.25,10.0
TOT-43,1.3491438374160478,0.5652563666844315,2.3867822052665906,45603.42526139919,0.8181818181818182,0.1,1.0,0.2,11.0
