id,beta,eta,beta/eta,error,tauOVq,delta,q,epsilon,fE0
VER-0,0.5101333098566794,0.15547520669599815,3.28112321377483,620.0541796991649,0.6666666666666666,0.09090909090909091,0.9500000000000001,0.2,10.0
VER-1,0.5582654901311646,0.1745097743457713,3.199049980002982,621.1183043010383,0.6666666666666666,0.1111111111111111,1.0,0.2,10.0
VER-2,0.678475087538543,0.1888879073302171,3.591945599526502,619.962023202738,0.5384615384615384,0.09090909090909091,1.0,0.15000000000000002,10.0
VER-3,0.42247616213509276,0.14142555495672307,2.9872689010438926,620.6558771858065,0.8181818181818182,0.1,1.05,0.25,10.0
VER-4,0.5369943375430181,0.1661073632584647,3.232814771175734,620.5990851223162,0.6666666666666666,0.1,1.05,0.2,10.0
VER-5,0.3657857110306237,0.11613310443349052,3.1497109529187632,619.6034307429726,0.8181818181818182,0.08333333333333333,0.9500000000000001,0.25,11.0
VER-6,0.6161635593799056,0.16690397698522486,3.691724849878511,621.0974159733248,0.5384615384615384,0.1111111111111111,1.05,0.2,10.0
VER-7,0.48287344773664004,0.16927800401422263,2.852546912687305,620.2461371842705,0.8181818181818182,0.09090909090909091,1.05,0.2,10.0
VER-8,0.5592206154854044,0.14715656749275532,3.8001743653944318,620.0140777168727,0.5384615384615384,0.09090909090909091,0.9500000000000001,0.2,10.0
VER-9,0.5396168716320706,0.1402610149765515,3.8472334719828063,620.576232290734,0.5384615384615384,0.1,0.9500000000000001,0.25,9.0
VER-10,0.6444934054472445,0.20915185912683604,3.0814615186203254,620.515241719455,0.6666666666666666,0.1,0.9500000000000001,0.15000000000000002,10.0
VER-11,0.39203747605653466,0.1084563312615085,3.6147034617210037,619.0808272626331,0.6666666666666666,0.07692307692307693,1.0,0.25,11.0
VER-12,0.6971665895590426,0.2301678868100318,3.028948126610062,620.5092396748194,0.6666666666666666,0.1,1.0,0.15000000000000002,9.0
VER-13,0.7949943751849073,0.2695026723513483,2.9498571136559275,619.3598924083311,0.6666666666666666,0.08333333333333333,1.0,0.1,10.0
VER-14,0.4592051588017407,0.1352165279090376,3.3960726983808933,619.5702210439058,0.6666666666666666,0.08333333333333333,1.0,0.25,9.0
