id,beta,eta,beta/eta,error,tauOVq,delta,q,epsilon,fE0
YUC-0,0.4020436518748633,0.12630312495852936,3.183164723809258,116.50415172009207,0.6666666666666666,0.09090909090909091,1.0,0.15000000000000002,10.0
YUC-1,0.3069565059408528,0.08845869075225032,3.470054816892528,116.21024541891337,0.6666666666666666,0.07692307692307693,1.05,0.2,10.0
YUC-2,0.23840773833087028,0.07234213736187427,3.2955583982581618,116.55686320317915,0.8181818181818182,0.09090909090909091,1.0,0.25,11.0
YUC-3,0.31412245389967447,0.09094658228847975,3.453922577357418,116.36819018663729,0.6666666666666666,0.08333333333333333,1.0,0.2,10.0
YUC-4,0.35264706568793613,0.08898596658014209,3.96295145448959,116.34713317721692,0.5384615384615384,0.08333333333333333,1.0,0.2,10.0
YUC-5,0.34362351205229275,0.10275653534025399,3.3440550609697444,116.68895963968757,0.6666666666666666,0.1,1.0,0.2,10.0
YUC-6,0.37945457613811606,0.13593577916786995,2.79142532202298,116.85565674964907,0.8181818181818182,0.1111111111111111,1.05,0.15000000000000002,11.0
YUC-7,0.41869746139580155,0.13268546791669353,3.155563815463804,116.6669978532908,0.6666666666666666,0.1,1.0,0.15000000000000002,10.0
YUC-8,0.46368605203729346,0.12760917670516037,3.6336419057748106,116.65317548161836,0.5384615384615384,0.1,1.0,0.15000000000000002,10.0
YUC-9,0.2991180873375911,0.10000880498077892,2.990917523662839,116.53348144814599,0.8181818181818182,0.09090909090909091,1.05,0.2,10.0
YUC-10,0.4161406161908115,0.13164565092366787,3.1610661899655343,116.66298886441881,0.6666666666666666,0.1,0.9500000000000001,0.15000000000000002,10.0
YUC-11,0.3152612583839244,0.07556798947083333,4.171888925344566,116.52346341818564,0.5384615384615384,0.09090909090909091,1.0,0.25,10.0
YUC-12,0.34312297975541645,0.10250994427275145,3.3472165280127193,116.68806734968183,0.6666666666666666,0.1,1.0,0.2,10.0
YUC-13,0.3774993203173445,0.1339313216399252,2.8186037119252263,116.74165727472572,0.8181818181818182,0.09090909090909091,1.0,0.15000000000000002,9.0
YUC-14,0.29458818560196964,0.0831434254953142,3.5431326511628036,116.6971324012251,0.6666666666666666,0.1,0.9500000000000001,0.25,10.0
YUC-15,0.3462999276279049,0.10394870135104316,3.3314502550486136,116.69714852947999,0.6666666666666666,0.1,1.05,0.2,10.0
YUC-16,0.32664760186273345,0.09586565221096968,3.407347619602967,116.52537682570433,0.6666666666666666,0.09090909090909091,1.0,0.2,10.0
YUC-17,0.38349146131504364,0.11892263180856423,3.224713878955935,116.33907279949753,0.6666666666666666,0.08333333333333333,0.9500000000000001,0.15000000000000002,10.0
YUC-18,0.29790232173375397,0.09942692020744695,2.996193798542716,116.53116392118041,0.8181818181818182,0.09090909090909091,1.0,0.2,10.0
YUC-19,0.4631370731237579,0.12739879420242142,3.635333254315489,116.65290395712161,0.5384615384615384,0.1,1.0,0.15000000000000002,10.0
YUC-20,0.341108141244936,0.10165691820797762,3.355483790557869,116.68436126901373,0.6666666666666666,0.1,0.9500000000000001,0.2,10.0
YUC-21,0.38804262884263296,0.12096413445499361,3.2079147310148333,116.34963434293843,0.6666666666666666,0.08333333333333333,1.0,0.15000000000000002,10.0
YUC-22,0.2876399141604107,0.09465712493893122,3.038756082502863,116.70757422616964,0.8181818181818182,0.1,1.05,0.25,9.0
YUC-23,0.2830883774590358,0.07874950692479145,3.594795555093382,116.53099482104928,0.6666666666666666,0.09090909090909091,0.9500000000000001,0.25,10.0
YUC-24,0.3192308393795037,0.0928389721267045,3.438543448583476,116.68838631472553,0.6666666666666666,0.1,0.9500000000000001,0.2,11.0
YUC-25,0.34851779537802635,0.10516471293880923,3.314018415861732,116.73065967837047,0.6666666666666666,0.1,1.0,0.2,10.0
YUC-26,0.2993485438235943,0.10023692784432771,2.9864098018695824,116.53467039287659,0.8181818181818182,0.09090909090909091,1.0,0.2,10.0
YUC-27,0.4702880791866513,0.1535326843012496,3.063113768426594,116.49168291193374,0.6666666666666666,0.09090909090909091,1.0,0.15000000000000002,8.0
YUC-28,0.22529793964301414,0.06778590511379405,3.3236694157111324,115.46179492157361,0.8181818181818182,0.05263157894736842,1.0,0.2,11.0
YUC-29,0.25841188227433254,0.06910407841518039,3.739459207049726,116.37867468465464,0.6666666666666666,0.08333333333333333,1.0,0.25,11.0
YUC-30,0.3067564823906233,0.08847718264727611,3.46706883302943,116.55036303110516,0.6666666666666666,0.09090909090909091,1.0,0.25,9.0
YUC-31,0.29554023749569935,0.06901639277667633,4.282174503845924,116.20600431378787,0.5384615384615384,0.07692307692307693,1.0,0.25,10.0
YUC-32,0.3447625329525839,0.10253373259825152,3.362430336008884,116.59614446473712,0.6666666666666666,0.09090909090909091,1.0,0.2,9.0
YUC-33,0.35072539986975854,0.12330951096510445,2.8442688412657064,116.35550252949429,0.8181818181818182,0.08333333333333333,1.0,0.15000000000000002,10.0
YUC-34,0.36847960891279613,0.1124734039399883,3.2761488138956247,116.68987659745731,0.6666666666666666,0.1,1.05,0.2,9.0
YUC-35,0.3431645221918678,0.10253087669017726,3.346938339645973,116.68811647872111,0.6666666666666666,0.1,1.0,0.2,10.0
YUC-36,0.35830151452254067,0.10878624888113782,3.2936287279656877,116.34369405898899,0.6666666666666666,0.08333333333333333,0.9500000000000001,0.15000000000000002,11.0
YUC-37,0.2831343438771814,0.07870980364875901,3.5971928622851475,116.53478048860853,0.6666666666666666,0.09090909090909091,0.9500000000000001,0.25,10.0
YUC-38,0.36689836138383947,0.11170734928438132,3.2844603666120507,116.69758234811344,0.6666666666666666,0.1,1.05,0.2,9.0
YUC-39,0.36690453224737946,0.09397558364990845,3.9042538284649098,116.51256728300501,0.5384615384615384,0.09090909090909091,1.0,0.2,10.0
YUC-40,0.32626510965766076,0.095671560923963,3.410262219061805,116.52747692284201,0.6666666666666666,0.09090909090909091,1.0,0.2,10.0
YUC-41,0.27922275718849426,0.07703748913491332,3.624504904352481,116.70700360150468,0.6666666666666666,0.1,1.05,0.25,11.0
YUC-42,0.3425187784038781,0.10221485489958189,3.3509686898286564,116.68785673137148,0.6666666666666666,0.1,1.0,0.2,10.0
