id,beta,eta,beta/eta,error,tauOVq,delta,q,epsilon,fE0
ZAC-0,0.27874421896687557,0.10579691758671338,2.634710210138315,7.144168435506536,0.8181818181818182,0.1,0.9500000000000001,0.2,11.0
ZAC-1,0.26535202831720195,0.08683766914668617,3.0557249051557265,7.128422565181432,0.6666666666666666,0.09090909090909091,1.0,0.25,10.0
ZAC-2,0.3613278519373848,0.12490227517758411,2.8928844684666832,7.143502097961764,0.6666666666666666,0.1,1.05,0.2,9.0
ZAC-3,0.26687639914508704,0.10085812339465228,2.6460575525564205,7.1290116925331235,0.8181818181818182,0.09090909090909091,1.05,0.2,11.0
ZAC-4,0.31318221615822656,0.1059442203541279,2.956104779584836,7.12776502679283,0.6666666666666666,0.09090909090909091,0.9500000000000001,0.2,10.0
ZAC-5,0.37854130449581413,0.1132057223228931,3.343835423938313,7.126774807703254,0.5384615384615384,0.09090909090909091,1.0,0.2,9.0
ZAC-6,0.25506160121716576,0.08335292637435864,3.0600197534951676,7.114281631476536,0.6666666666666666,0.08333333333333333,1.0,0.25,10.0
ZAC-7,0.4207898217475394,0.149184528267903,2.8205996066287273,7.143982381664677,0.6666666666666666,0.1,1.0,0.15000000000000002,10.0
ZAC-8,0.33092766835320647,0.0968788274683659,3.4158925845924917,7.111758355838963,0.5384615384615384,0.08333333333333333,0.9,0.2,10.0
ZAC-9,0.28522329240031075,0.10904237157992086,2.6157106477756757,7.128534535048317,0.8181818181818182,0.09090909090909091,0.9500000000000001,0.2,10.0
ZAC-10,0.31621917270838884,0.10718964312193249,2.950090731701354,7.128219182712369,0.6666666666666666,0.09090909090909091,1.05,0.2,10.0
ZAC-11,0.3357081036665736,0.11508681544580265,2.916998809691343,7.144487101477803,0.6666666666666666,0.1,1.0,0.2,10.0
ZAC-12,0.3494804004227986,0.13746552401112974,2.542313084948509,7.144055967371834,0.8181818181818182,0.1,1.0,0.15000000000000002,11.0
ZAC-13,0.30323538679615625,0.10231656434118964,2.9636978992470193,7.113805357435774,0.6666666666666666,0.08333333333333333,1.1,0.2,10.0
ZAC-14,0.33077281644825596,0.11261652218234187,2.9371606407156543,7.143503865861102,0.6666666666666666,0.1,1.0,0.2,10.0
ZAC-15,0.44924515363403966,0.1376415578701441,3.2638772808563634,7.140700858355716,0.5384615384615384,0.1,0.9,0.15000000000000002,10.0
ZAC-16,0.4073784748404798,0.16325610384576084,2.495333805254583,7.144425375809352,0.8181818181818182,0.1,1.0,0.15000000000000002,9.0
ZAC-17,0.31254257067417307,0.09014783387976111,3.467000339587098,7.144454970169158,0.5384615384615384,0.1,1.0,0.25,10.0
ZAC-18,0.3375351950746008,0.1169986406526681,2.8849497155837547,7.0746705752409715,0.6666666666666666,0.06666666666666667,1.0,0.15000000000000002,10.0
ZAC-19,0.2801719325848231,0.09243408196165054,3.031045764062027,7.144105165526493,0.6666666666666666,0.1,1.05,0.25,10.0
ZAC-20,0.37916157300917996,0.13292940354075433,2.8523529250090576,7.113034294352093,0.6666666666666666,0.08333333333333333,1.0,0.15000000000000002,10.0
ZAC-21,0.2653430311733918,0.08683202814363739,3.0558198034308472,7.128422591107661,0.6666666666666666,0.09090909090909091,1.0,0.25,10.0
ZAC-22,0.2676342250995385,0.08840822394540206,3.027254854308807,7.099706509049311,0.6666666666666666,0.07692307692307693,0.9500000000000001,0.2,11.0
ZAC-23,0.3695203833728063,0.10971423419135852,3.3680259092754166,7.14280839357173,0.5384615384615384,0.1,1.05,0.2,10.0
ZAC-24,0.36536777055747177,0.12768635392922212,2.8614472832390447,7.099550438359301,0.6666666666666666,0.07692307692307693,1.05,0.15000000000000002,10.0
ZAC-25,0.33669088708937256,0.11560759540289037,2.912359572189102,7.145026048779016,0.6666666666666666,0.1,1.0,0.2,10.0
ZAC-26,0.3518926621019646,0.10372652138579841,3.392504225540755,7.127698206694098,0.5384615384615384,0.09090909090909091,1.1,0.2,10.0
ZAC-27,0.2854641104396326,0.10914324243760624,2.615499632080506,7.128954228400192,0.8181818181818182,0.09090909090909091,1.0,0.2,10.0
ZAC-28,0.400161384680774,0.12044290521228208,3.322415579194845,7.142547835529598,0.5384615384615384,0.1,1.05,0.2,9.0
ZAC-29,0.28385152861534335,0.1086472132444553,2.6125983367532846,7.145769104019116,0.8181818181818182,0.1,1.0,0.2,11.0
ZAC-30,0.3354073859463007,0.09851320388602666,3.404694728377174,7.112510004079419,0.5384615384615384,0.08333333333333333,1.0,0.2,10.0
ZAC-31,0.3428434685339983,0.13563584618399346,2.5276759660489927,7.088705274675288,0.8181818181818182,0.07142857142857142,1.05,0.15000000000000002,9.0
ZAC-32,0.3268751992011519,0.1118375018587201,2.9227691406598155,7.113239079478967,0.6666666666666666,0.08333333333333333,1.0,0.2,9.0
ZAC-33,0.33272200824309695,0.11344661531406455,2.932850903678285,7.143701138269664,0.6666666666666666,0.1,1.05,0.2,10.0
ZAC-34,0.27915989538082925,0.09203068485167581,3.0333349776843037,7.143918138115127,0.6666666666666666,0.1,1.0,0.25,10.0
ZAC-35,0.2742003085807457,0.09058453329353837,3.0270102258208036,7.128330893120482,0.6666666666666666,0.09090909090909091,0.9500000000000001,0.2,12.0
ZAC-36,0.30098270342701,0.10142187829100559,2.9676309342587093,7.113416240311847,0.6666666666666666,0.08333333333333333,1.0,0.2,10.0
ZAC-37,0.30065794286678016,0.10125509632419033,2.969311706584704,7.113423367213188,0.6666666666666666,0.08333333333333333,1.0,0.2,10.0
ZAC-38,0.3313591968428155,0.11291202849188871,2.9346669373371452,7.1434820472684315,0.6666666666666666,0.1,1.0,0.2,10.0
ZAC-39,0.3313992467167365,0.11293180943341696,2.934507543794602,7.1434819566357515,0.6666666666666666,0.1,1.0,0.2,10.0
ZAC-40,0.3249454092116204,0.12641447784121623,2.57047622045135,7.145006428156962,0.8181818181818182,0.1,1.0,0.2,9.0
ZAC-41,0.3014045151054951,0.10162775612358328,2.9657696539021834,7.113433915384973,0.6666666666666666,0.08333333333333333,1.0,0.2,10.0
ZAC-42,0.2791957363197105,0.09204950793928027,3.0331040607395727,7.143918165320624,0.6666666666666666,0.1,1.0,0.25,10.0
ZAC-43,0.29606758021306984,0.11425297635718044,2.5913336321978706,7.113770524132012,0.8181818181818182,0.08333333333333333,0.9500000000000001,0.2,9.0
ZAC-44,0.3039658486471322,0.11739743630665107,2.5892034631246137,7.144543061669488,0.8181818181818182,0.1,1.0,0.2,10.0
ZAC-45,0.393918388166349,0.13827409801385682,2.8488226922071362,7.127326211610683,0.6666666666666666,0.09090909090909091,1.0,0.15000000000000002,10.0
ZAC-46,0.32078406523147684,0.10835752694669772,2.9604225407365945,7.159999683178417,0.6666666666666666,0.1111111111111111,1.0,0.25,9.0
ZAC-47,0.29612028771950255,0.08434964938099211,3.5106285549804808,7.127593982297099,0.5384615384615384,0.09090909090909091,1.0,0.25,10.0
ZAC-48,0.32700580115681493,0.09513705738867978,3.437207436644187,7.127559737194707,0.5384615384615384,0.09090909090909091,1.05,0.2,11.0
ZAC-49,0.30065257057109634,0.10125078534041532,2.9693850725233606,7.11342364179517,0.6666666666666666,0.08333333333333333,1.0,0.2,10.0
ZAC-50,0.281044630734791,0.10645542048211153,2.640021799378614,7.132782791983073,0.8181818181818182,0.09090909090909091,1.1,0.2,10.0
ZAC-51,0.29893768384640385,0.11459566668966355,2.6086299114255063,7.144651996246818,0.8181818181818182,0.1,1.0,0.2,10.0
ZAC-52,0.2901243011507586,0.09739395775870527,2.978873718937936,7.099966341395259,0.6666666666666666,0.07692307692307693,1.05,0.2,10.0
ZAC-53,0.3403376511297666,0.099507753149939,3.42021239909762,7.142416718484311,0.5384615384615384,0.1,0.9500000000000001,0.2,11.0
ZAC-54,0.3914483424555329,0.13726990828094598,2.8516690027530864,7.127028014298902,0.6666666666666666,0.09090909090909091,0.9500000000000001,0.15000000000000002,10.0
ZAC-55,0.28369294819940843,0.09438310284152655,3.005759925860263,7.145721618358086,0.6666666666666666,0.1,1.0,0.25,10.0
ZAC-56,0.3058683015800639,0.10321018161701959,2.9635477506961925,7.144937888598041,0.6666666666666666,0.1,1.0,0.25,9.0
ZAC-57,0.2871472712316528,0.10990388925364696,2.612712554411484,7.1288613678602415,0.8181818181818182,0.09090909090909091,1.05,0.2,10.0
ZAC-58,0.3123444790407721,0.0904466774058125,3.4533549268964023,7.112739370298765,0.5384615384615384,0.08333333333333333,1.0,0.2,11.0
ZAC-59,0.2671874231360818,0.08769267737312837,3.046861278955042,7.128693453154254,0.6666666666666666,0.09090909090909091,1.05,0.25,10.0
ZAC-60,0.21271478518807643,0.06643150185338806,3.202016803075299,7.1004085564748545,0.6666666666666666,0.07692307692307693,1.0,0.30000000000000004,10.0
ZAC-61,0.2763125992103761,0.09190640015608931,3.006456555159384,7.114545287565768,0.6666666666666666,0.08333333333333333,1.0,0.25,9.0
ZAC-62,0.3864956253095692,0.11533767153298556,3.35099209280495,7.158376542065101,0.5384615384615384,0.1111111111111111,0.9500000000000001,0.2,10.0
ZAC-63,0.3313998260484269,0.11293207278616559,2.93450583056175,7.143481956385472,0.6666666666666666,0.1,1.0,0.2,10.0
ZAC-64,0.36952401317152944,0.10971589348193468,3.3680080564843013,7.142808393470383,0.5384615384615384,0.1,1.05,0.2,10.0
ZAC-65,0.3940967574267773,0.13815181223096398,2.8526354527143027,7.127752480089716,0.6666666666666666,0.09090909090909091,1.05,0.15000000000000002,10.0
ZAC-66,0.3314009408990877,0.11293262658475929,2.9345013121638632,7.1434819560366725,0.6666666666666666,0.1,1.0,0.2,10.0
ZAC-67,0.2878272502287825,0.09618714895726668,2.9923669985962085,7.10039469423127,0.6666666666666666,0.07692307692307693,1.05,0.2,10.0
ZAC-68,0.30090587424612286,0.10138609678128764,2.9679204920497506,7.113416818770167,0.6666666666666666,0.08333333333333333,1.0,0.2,10.0
ZAC-69,0.2653444122300455,0.08683400236757904,3.0557662320666723,7.128422577211528,0.6666666666666666,0.09090909090909091,1.0,0.25,10.0
ZAC-70,0.31347150189808043,0.10609454322173255,2.954643022902129,7.127759451853739,0.6666666666666666,0.09090909090909091,0.9500000000000001,0.2,10.0
ZAC-71,0.38649995846384766,0.11533955449894895,3.350974955147496,7.158376541269256,0.5384615384615384,0.1111111111111111,0.9500000000000001,0.2,10.0
ZAC-72,0.3148780106433966,0.1066512228845687,2.952408815641964,7.128005834656867,0.6666666666666666,0.09090909090909091,1.0,0.2,10.0
ZAC-73,0.30009597536671956,0.10096372325041328,2.972314864244977,7.113471275608371,0.6666666666666666,0.08333333333333333,1.0,0.2,10.0
ZAC-74,0.2632275734809968,0.09883700354727414,2.663249228868963,7.129299273342486,0.8181818181818182,0.09090909090909091,1.0,0.2,11.0
ZAC-75,0.32565490590638413,0.11119367950268749,2.928717777511025,7.113265296679777,0.6666666666666666,0.08333333333333333,1.0,0.2,9.0
ZAC-76,0.3695242548362272,0.10971590268026048,3.3680099767589127,7.142808393351185,0.5384615384615384,0.1,1.05,0.2,10.0
ZAC-77,0.34003020653462745,0.11671901907546722,2.9132373560711087,7.127532806154054,0.6666666666666666,0.09090909090909091,0.9500000000000001,0.2,9.0
ZAC-78,0.3214021131782177,0.12466323168691011,2.5781628538670844,7.160620685016211,0.8181818181818182,0.1111111111111111,1.05,0.2,10.0
ZAC-79,0.2925759862470354,0.09772871892210841,2.9937564870795437,7.128179421031272,0.6666666666666666,0.09090909090909091,1.0,0.2,11.0
ZAC-80,0.3327400138179886,0.11361003565173315,2.9287906821716816,7.143581384610447,0.6666666666666666,0.1,1.0,0.2,10.0
ZAC-81,0.2787494466148204,0.10579981417388169,2.6346874877936597,7.144168432297612,0.8181818181818182,0.1,0.9500000000000001,0.2,11.0
